34	-28	-91	-483	-263	-35	-10	-127	-218	
159	-186	-458	-551	-509	-213	203	-286	-237	
326	-265	-738	-433	-468	-268	268	40	-51	
46	-390	-1297	-682	-351	163	598	364	48	
100	-881	-1253	-1005	-372	253	1597	1076	323	
-182	-378	-1180	-1298	-537	335	951	781	258	
-196	-748	-885	-1005	-296	131	671	332	103	
-119	-133	-104	-221	-207	-158	293	-123	40	
301	408	886	206	49	-644	-708	-1320	-129	
108	1194	2818	1201	115	-1732	-2643	-2771	-238	
201	1608	3337	2001	304	-2037	-3192	-3217	-320	
108	1914	2907	1734	641	-1283	-1589	-2441	-258	
0	583	1404	685	460	-659	-592	-760	-278	
-412	241	315	-7	131	-144	-55	-286	-55	
-191	8	-236	-157	123	106	603	24	24	
-93	-7	-885	-507	32	311	494	340	177	
-93	-167	-1091	-741	-145	229	361	332	-7	
-112	-407	-988	-536	-275	122	161	154	-68	
-105	-487	-738	-235	-136	114	8	-34	-95	
167	-369	-700	-290	-145	188	93	40	-36	
-9	-140	-645	-242	-110	40	-11	-22	-147	
