-21	83	257	41	-131	-340	-478	-263	-158	-68	328	95	254	126	
242	216	189	-56	-198	-383	-722	-293	-278	-135	480	486	333	134	
190	257	340	-159	-220	-659	-968	-490	-366	-162	444	453	370	347	
217	283	251	-42	-97	-731	-539	-558	-335	-81	1006	826	349	302	
175	-42	64	33	-14	-337	-410	-293	-332	-129	1006	504	285	300	
-70	-195	16	-180	-76	-192	-151	8	-285	-217	240	31	-54	197	
-238	-313	-368	-194	564	171	701	677	-116	-283	-357	-539	-252	-306	
-426	-836	-541	-69	988	2062	1946	1788	258	-439	-1580	-1807	-813	-1174	
-649	-674	-782	-207	1147	2484	2663	2431	291	-544	-2585	-2343	-2018	-1453	
-419	-570	-1165	-375	1235	3275	2663	2986	808	-318	-3279	-2963	-2453	-1858	
-224	-511	-856	-580	740	2537	2226	2066	843	-374	-2882	-3132	-2888	-1746	
-196	-292	-388	-249	205	1236	1789	1180	377	-156	-1764	-1723	-1626	-1076	
-70	-112	-132	-173	-117	122	514	32	377	-277	-319	-309	-474	-180	
-21	-112	-97	-221	-383	-363	-342	-616	56	-169	112	334	269	474	
83	196	148	-214	-830	-920	-982	-1852	-190	-7	529	1063	1288	1032	
38	91	153	-118	-399	-1312	-1704	-1880	-183	193	1279	1723	1608	1182	
11	186	153	132	-275	-978	-1560	-1507	-82	313	921	1893	1355	898	
16	150	141	15	-269	-673	-997	-946	-177	337	512	1198	1456	466	
92	116	95	57	-241	-543	-226	-501	-122	16	272	494	867	245	
-1	66	66	-34	-124	-261	-110	-179	-68	8	120	247	631	-94	
