-258	-133	51	-51	95	-59	-331	-272	43	-37	-31	8	62	150	70	25	-15	-197	-235	
-23	-8	-14	-148	-109	-236	-456	-435	-64	-41	-30	103	275	172	84	-52	-235	-220	-97	
36	16	51	-49	42	-59	-1008	-623	-215	-30	-23	189	551	309	146	-52	-257	-169	214	
57	53	16	51	388	-507	-570	-795	-140	-118	94	439	1721	585	43	-98	-286	-191	-108	
0	-8	63	276	414	-705	-868	-685	-413	-125	237	531	1573	1050	-30	-96	-279	-491	-242	
147	-1	-30	112	-24	-611	-1228	-952	-702	-404	448	493	1182	883	77	-112	-242	-244	-103	
-111	-111	-23	-19	-8	-423	-680	-858	-397	-287	117	267	569	456	-125	-184	-188	-140	489	
121	-427	-96	-155	-119	-287	-125	-235	94	-272	43	-81	-125	-133	-193	-184	-184	8	136	
-138	-639	-368	-537	-23	241	379	707	612	112	-138	-922	-1527	-961	-330	-81	300	68	112	
-445	-1234	-874	-1336	60	1050	1307	2421	1564	301	-1029	-2517	-2715	-2242	-1441	197	604	180	386	
-332	-1344	-1062	-1524	138	1535	2239	3427	2290	172	-1311	-4221	-3606	-2992	-1691	249	1741	1058	841	
-118	-1673	-1219	-1383	51	1927	3021	2794	2327	301	-1545	-3892	-3512	-3789	-1348	464	1537	817	789	
-314	-890	-733	-1101	311	1461	2183	2365	2085	77	-716	-2814	-3434	-2742	-1316	154	1445	111	163	
-237	-184	-471	-631	34	207	971	-37	1434	86	-654	-1469	-1793	-1164	-286	154	412	-22	300	
-124	-177	-295	-339	-218	-184	233	-74	560	163	-331	25	-45	-155	189	120	-52	-44	43	
60	34	744	-155	-383	-830	-1071	-404	-316	-169	77	940	1480	215	215	189	-683	-191	0	
138	680	624	233	-309	-1363	-1650	-2031	-1344	-661	0	2278	1963	1124	268	-198	-1277	-848	-220	
17	372	362	-67	-309	-1222	-1932	-2344	-1015	-287	68	2334	2390	975	111	-184	-933	-1457	-198	
-5	69	196	129	-302	-412	-1024	-1640	-765	-397	318	1683	2204	679	344	-88	-419	-396	77	
108	119	224	150	164	-368	-915	-1092	-468	-375	284	577	2260	288	197	-264	-257	-308	-132	
179	77	122	86	-14	-346	-324	-162	-235	-346	85	447	602	340	266	-70	0	-583	-66	
4	-162	103	-74	-87	-182	-199	-15	17	-316	-45	193	353	206	119	52	-224	-119	429	
