-174	-160	-304	-234	-69	-118	-198	-21	
-272	-344	-380	-447	-233	-253	-161	-14	
-481	-561	-404	-318	-220	-89	12	137	
-411	-826	-414	-200	196	717	162	307	
-629	-1018	-532	-379	709	1859	454	300	
-777	-1224	-1049	-351	409	1213	694	622	
-703	-1121	-800	-406	196	758	538	237	
-49	-298	-132	-186	196	138	-34	105	
216	0	614	-14	-340	-982	-1320	-292	
1212	1870	1307	-117	-1819	-2787	-2929	-1050	
1302	2389	2250	16	-2240	-3105	-2742	-806	
1554	2174	1894	246	-1776	-2354	-2168	-592	
1230	1333	1058	287	-1036	-896	-932	-454	
166	141	132	82	-281	-103	-143	8	
-21	-312	-580	115	-131	505	64	75	
-119	-326	-580	131	450	1772	694	242	
-174	-370	-902	24	368	1457	503	-55	
-216	-347	-932	-482	81	811	235	-251	
-294	-179	-624	-385	-110	480	186	-64	
