-88	-28	-143	-192	-232	-263	-281	-205	-160	-171	-333	0	-24	-50	235	113	104	78	209	166	40	-15	-33	-74	-91	95	
-7	-69	-199	-291	-275	-318	-351	-348	-289	-453	-363	-230	-166	48	340	130	130	345	331	325	200	-170	-74	-42	-96	-36	
-71	-199	-179	-212	-351	-380	-448	-356	-496	-579	-801	-74	-148	69	340	707	-67	759	69	606	219	-207	-60	-104	-141	-37	
-207	-207	-40	-172	-369	-394	-704	-781	-777	-910	-1085	-193	-68	244	366	1398	427	2058	389	1151	278	95	-37	-170	-79	-83	
-107	-380	-233	-192	-336	-643	-1615	-1759	-2148	-1162	-1195	-148	-16	463	200	2132	1387	3243	1066	1941	339	174	119	7	-74	-214	
-224	-588	-319	-377	-428	-1333	-1507	-2532	-2337	-721	-454	-134	-311	488	96	2283	2140	3074	2194	2768	1297	426	251	156	-30	-104	
-301	-560	-316	-658	-980	-2400	-3248	-2216	-2653	-526	-281	-97	-318	158	148	2038	1651	3808	3511	4234	2330	635	304	339	147	21	
-161	-227	-266	-575	-1942	-2605	-4608	-1286	-1912	-52	26	-82	-383	-56	122	1040	371	3337	3624	5117	4059	2044	434	1170	-37	8	
-114	-323	-649	-1555	-3013	-3562	-4540	-1018	-997	332	105	192	-143	-119	-111	192	87	2867	3116	5550	4829	3697	434	602	-45	260	
-207	-267	-1038	-2591	-3893	-5626	-3588	-526	-430	1542	91	472	-259	-449	-653	-481	-685	1550	2946	5681	5656	5256	1298	851	-406	321	
-94	-281	-1496	-3240	-4813	-7103	-2853	-326	-215	2429	940	638	-281	-1456	-1960	-1696	-1645	409	1799	5381	6050	5876	2292	907	-141	521	
-177	-309	-1107	-3268	-4621	-6105	-3139	368	315	2713	2130	1577	-8	-1960	-3849	-2278	-2117	217	252	4422	6407	5688	3118	1113	417	408	
-121	-769	-774	-3295	-4937	-6364	-2867	376	525	3525	2923	2143	-193	-2496	-4179	-2183	-2731	-23	69	4178	6276	5969	3738	1188	957	635	
-147	-755	-1010	-3931	-5363	-6747	-1996	-67	881	3393	3300	2917	-289	-1976	-4384	-2498	-1928	-74	-74	3595	6746	6345	3344	1357	882	199	
-187	-286	-746	-4027	-4525	-6679	-2391	-378	464	2826	2602	2445	-311	-1693	-4085	-1696	-1598	-355	-15	3651	6464	5913	3625	1170	443	364	
-361	-233	-621	-2591	-4250	-5462	-3220	-378	43	1901	1488	1709	-257	-716	-2353	-1271	-1236	-104	1235	3087	5938	6514	2311	1883	165	112	
-206	-173	-607	-1956	-3412	-4614	-4145	-1254	-319	472	148	671	-101	-451	-1047	-736	-562	191	1968	4384	5693	5594	1485	2051	165	34	
-101	-159	-260	-1403	-2189	-4150	-3520	-1365	-1754	-289	-974	122	-367	52	-291	-133	8	2340	3041	4629	4491	3415	340	521	139	-273	
-61	-100	-135	-1141	-1598	-3630	-3492	-2090	-2400	-474	-1573	69	-100	270	-215	514	619	3883	3962	4629	3909	2439	-23	399	156	-85	
-103	-173	-102	-93	-856	-1716	-3955	-2327	-2369	-1131	-2203	-111	-40	305	96	1774	1896	3845	3548	4159	1391	1387	-67	-15	121	-74	
-61	-153	-7	-263	-897	-1032	-2962	-1318	-2810	-1714	-2235	-156	13	116	52	2622	2291	3318	2119	3068	639	391	-207	-273	-42	-59	
134	-34	-39	-53	-244	-1306	-922	-1349	-2416	-1257	-1494	-237	-230	96	-74	2471	2649	2095	2100	1301	17	-8	-207	-332	-123	-109	
47	-27	-60	-133	-329	-718	-568	-629	-1801	-815	-1321	-178	-126	36	-60	2000	1670	1493	1216	470	-52	-177	-295	-332	-118	-74	
158	-60	62	-14	-185	-361	-354	-296	-1360	-1083	-722	-215	-36	-2	-8	1209	578	427	339	470	-163	-37	-89	-264	-192	112	
17	54	-18	-185	-172	-186	-177	-252	-666	-973	-407	-244	-37	-60	89	375	235	209	241	348	-229	95	-413	-308	-133	-15	
