106	107	6	-3	130	-211	-170	-275	-330	-174	-52	-207	259	368	308	204	240	172	-156	-125	-289	-203	
381	272	-76	-69	-69	-374	-380	-326	-343	-302	-247	-300	306	332	351	317	278	116	-222	-250	-304	-235	
258	322	77	-14	-104	-347	-721	-303	-451	-680	-334	-326	582	305	609	437	177	-20	-267	-348	-429	-163	
315	952	172	29	16	-659	-749	-1498	-645	-779	-301	-293	684	1574	609	417	158	-104	-407	-400	-518	34	
331	1023	748	300	97	-530	-1579	-1740	-942	-1314	-374	-233	1088	1508	1052	464	-249	-541	-824	-658	-801	-267	
265	305	608	327	-96	-788	-1493	-1099	-985	-335	-374	-94	955	1260	1003	248	53	-148	-1313	-1194	-754	-396	
128	247	501	81	-205	-1392	-907	-416	-334	-74	-223	78	723	1376	554	62	-5	-317	-1297	-1210	-326	-294	
74	214	168	-90	-205	-889	-244	-27	-135	-121	-194	-94	275	415	249	-7	-327	-260	-570	-942	-497	-378	
-181	-318	49	-281	-185	-164	234	418	88	23	71	37	86	15	39	-86	-543	-192	-119	-67	-341	-267	
-174	-477	-482	-1007	163	186	1292	1304	852	605	238	86	-319	-588	-172	-1197	-562	157	175	341	-51	-230	
-312	-932	-1150	-1428	554	712	1775	1888	2455	1605	460	94	-469	-2094	-828	-1935	-1289	17	359	1221	26	104	
-354	-1444	-1354	-1384	1649	1736	2310	2488	3563	2333	1187	150	-1010	-3088	-2093	-1757	-2703	-237	900	2278	463	201	
-385	-1547	-1748	-1312	689	2240	2776	3071	4313	3028	1473	63	-1093	-3696	-2587	-2208	-3316	-385	956	2524	940	673	
-252	-1371	-2171	-746	529	1649	2845	2917	3341	3079	1608	347	-413	-3820	-2422	-2605	-2785	-348	578	2675	1280	1105	
-458	-756	-1952	-833	627	1354	3069	2591	2318	2520	1574	245	-705	-3268	-2477	-2769	-2159	8	956	2203	603	483	
-201	-390	-516	-267	293	1111	1671	1356	682	1097	285	118	-1163	-1831	-1667	-1292	-1806	297	639	463	437	323	
-194	-201	172	24	148	278	498	289	96	334	55	-119	-649	-575	-801	-1156	-675	157	297	148	192	43	
-42	156	328	474	0	-266	-373	-559	-122	-148	-322	-222	-299	-354	-468	-855	108	228	245	-185	-178	-121	
-35	338	1165	709	105	-1248	-1321	-1455	-330	-877	-714	-147	-14	-73	-66	-125	268	403	-126	-278	-318	-190	
282	347	1960	573	130	-1248	-1622	-1469	-1268	-1370	-813	-67	94	781	569	606	688	587	-267	-481	-801	-252	
224	495	1501	466	203	-989	-1836	-1882	-1608	-1680	-602	-20	259	1062	1052	676	499	227	-729	-327	-643	-332	
182	231	411	407	211	-1004	-1421	-1711	-1750	-1230	-368	-80	187	360	773	598	408	-163	-1218	-267	-659	-171	
182	199	427	377	-100	-1076	-964	-914	-1112	-1215	-301	-233	212	305	691	538	235	17	-1123	-171	-337	-126	
33	-42	328	278	89	-347	-224	-516	-843	-1244	-341	221	259	305	358	396	-20	-67	-518	-286	-170	87	
