-154	-188	-208	-187	-169	-83	-20	-28	-18	56	224	318	-7	62	62	
-92	-153	-194	-159	-179	-117	-152	-177	32	116	216	313	198	61	39	
-77	-7	-95	-127	-177	-185	-294	-361	-72	160	232	311	238	111	62	
39	200	4	16	-214	-78	-997	-361	-116	56	384	310	95	86	-20	
8	333	-104	33	-310	-644	-1387	-831	-197	32	576	453	420	150	-179	
-42	95	-17	-40	-324	-818	-1704	-961	-339	-176	955	792	749	466	-100	
95	31	55	-81	-248	-905	-519	-565	-312	-203	316	368	419	331	-67	
-7	-25	-62	-90	-159	-343	24	-259	-136	-115	144	-61	230	7	125	
-70	-181	-187	-138	180	90	1003	454	129	-359	-384	-652	-378	-490	165	
-440	-407	-499	-228	634	2238	2453	1771	476	-426	-2344	-1850	-2116	-951	-60	
-622	-836	-1018	-339	1059	2660	3571	2795	463	-616	-3010	-3315	-2958	-1481	-34	
-412	-895	-1312	-256	917	2800	3816	3299	739	-402	-3166	-3878	-2902	-1871	118	
-168	-1132	-988	-394	899	2519	3117	2622	722	-374	-2712	-3456	-2705	-1718	125	
67	-496	-402	-373	197	1974	2558	1458	135	-162	-1226	-1990	-1528	-895	-20	
67	-174	-56	-201	-62	253	933	227	170	-34	-206	-849	-321	-207	251	
85	-35	-42	-221	-480	-615	-219	-731	-14	64	240	127	484	426	338	
201	125	510	-214	-450	-1123	-737	-1421	-366	104	297	436	1439	547	401	
201	266	331	57	-434	-1312	-1358	-2038	-461	128	409	1537	1726	881	-166	
134	191	492	165	-447	-688	-1473	-1650	-312	97	307	1435	1776	915	-126	
91	208	299	258	-180	-441	-766	-1320	-217	265	400	422	1103	411	70	
33	8	240	173	-90	-359	-535	-1104	-89	-48	235	398	615	150	62	
118	-105	141	92	82	-225	-321	-184	-122	-34	192	358	309	63	-219	
