-8	18	-49	-75	-132	-49	-252	-271	-300	177	79	155	310	230	150	-20	-258	-256	-322	-300	
84	-5	-38	-63	-55	-49	-572	-348	-659	-111	48	120	263	315	450	15	-304	-264	-381	-366	
-22	-16	-35	33	24	-49	-659	-491	-1061	-7	144	360	690	317	350	-47	-311	-316	-319	-144	
-64	0	300	107	107	-28	-1065	-1040	-1435	-217	353	480	775	452	303	-100	-464	-408	-434	-266	
96	159	162	157	8	-275	-1370	-1228	-1018	-163	193	1108	809	325	354	338	-134	-247	-368	-358	
107	112	33	-125	-112	-234	-1254	-795	-549	-231	80	1432	826	-74	144	165	7	-260	-306	-313	
100	40	-28	-229	-97	8	-42	48	-150	-55	0	256	127	-341	134	-60	-152	-198	-281	-118	
-76	-21	-84	-388	-21	419	556	725	357	129	-416	-518	-248	-1051	-340	-14	15	132	48	-14	
-260	-761	-437	-591	-228	864	2080	1789	1823	515	-744	-1608	-1666	-1640	-1258	-47	415	478	357	170	
-480	-647	-570	-782	-366	705	2589	3082	2795	895	-829	-2670	-2822	-1864	-1690	-213	781	1463	365	216	
-337	-411	-393	-915	-187	882	2923	3571	3212	1809	-345	-3137	-3146	-2102	-1760	-239	798	1413	551	200	
-337	-266	-230	-1165	-536	1059	2537	3309	2326	1102	-277	-2557	-2624	-2032	-1802	-87	470	682	227	-27	
-169	-226	-285	-429	-318	172	1025	1562	1094	256	-54	-1240	-1723	-855	-1048	141	600	388	116	8	
-85	-182	-155	-252	-180	-55	-83	260	121	96	-48	-249	-483	-388	-147	57	101	156	-53	-28	
-72	16	100	-63	-180	-179	-644	-205	-347	56	168	16	71	516	221	133	-93	-139	-158	46	
-141	326	250	82	-97	-255	-1471	-549	-1248	-204	127	264	436	1355	731	204	-80	-190	-228	-53	
31	154	194	282	-173	-344	-1776	-2123	-1923	-278	281	440	1334	1726	697	55	-232	-310	-309	-217	
-120	56	91	707	-56	-365	-1544	-2137	-1291	-265	249	376	1418	1608	580	102	-153	-316	-379	-408	
-43	100	125	383	272	49	-630	-968	-1047	-190	64	339	453	968	616	173	-166	-271	-389	-477	
-71	67	116	431	66	90	-528	-301	-889	-328	-115	464	356	349	614	196	-80	-336	-427	-358	
30	22	33	159	-7	-32	-350	-328	-372	-116	32	408	159	206	63	110	-95	-191	-317	-325	
