50	0	-132	-289	-117	-204	-368	145	152	213	302	158	147	-21	-324	-204	-144	
141	120	41	-188	-233	-260	-487	-112	112	200	398	237	126	47	-337	-310	-195	
225	150	107	-269	-383	-347	-659	-217	112	296	775	269	102	-27	-205	-283	-313	
150	149	33	-220	-862	-535	-1133	-292	-27	520	859	269	339	-107	-172	-303	-328	
8	70	56	74	-1108	-896	-903	-520	-81	835	741	293	482	157	-383	-384	-339	
-77	22	49	-283	-1094	-451	-510	-578	-108	437	622	214	345	275	-212	-369	-281	
-202	-165	-111	-159	-398	-157	-62	-298	-95	400	191	7	100	228	-27	-283	-86	
-320	-298	-166	57	98	619	527	-177	-173	-195	-511	-518	-180	196	134	109	-33	
-511	-738	-249	287	1482	2243	1788	242	-223	-815	-1920	-1191	-895	55	258	351	131	
-511	-1121	-844	988	2326	3571	2847	307	-264	-2104	-3160	-2131	-1565	-93	500	480	325	
-807	-1474	-375	1200	2677	3676	2691	532	-311	-3151	-3413	-2215	-1899	-133	542	555	520	
-940	-1047	-318	758	2080	2960	2014	66	-359	-2812	-2991	-2257	-1286	23	798	678	225	
-320	-444	-387	263	1394	1842	625	-175	-196	-1721	-1413	-1415	-742	110	765	499	167	
-146	-201	-565	-83	57	489	129	-90	-162	-546	-141	-241	-60	57	31	187	-3	
-49	-208	-408	-421	-688	-383	-989	-149	168	256	247	428	482	149	-60	39	-256	
150	438	-270	-786	-1428	-1083	-2110	-190	257	938	758	615	1049	362	-202	-185	-275	
325	796	-118	-655	-1529	-1444	-2355	-285	257	1449	1537	1035	898	102	-519	-356	-293	
83	1136	-83	-351	-1036	-1502	-1794	-231	257	955	1131	1322	848	251	-236	-311	-289	
83	778	41	-289	-586	-1170	-1104	-721	104	733	1114	484	569	15	-285	-297	-302	
-126	273	-21	-289	-789	-795	-860	-400	-54	528	826	325	86	-186	-381	-326	-224	
-244	16	-90	-229	-370	-294	-252	-210	24	528	199	142	-47	-206	-782	-297	-157	
