-147	-162	-208	-639	-287	-206	228	-62	-156	
-83	-112	-374	-390	-200	-62	456	-170	-183	
-49	-153	-305	-346	-269	57	285	8	-97	
-28	-216	-506	-609	-152	229	619	324	88	
41	-452	-664	-1283	-344	442	585	405	242	
-203	-688	-856	-1283	-344	269	619	469	460	
-98	-940	-1018	-1342	-365	360	390	469	218	
242	-320	-222	-145	115	24	114	-164	210	
326	300	1082	880	263	-615	-1329	-1291	-48	
519	1806	2800	1788	8	-1413	-2340	-2556	-520	
1209	1518	3176	2037	172	-1790	-2195	-3576	-478	
435	1626	2603	1432	427	-1471	-2296	-2268	-305	
242	533	903	596	287	-499	-520	-1148	-170	
16	-21	-21	-35	54	-76	65	-587	-180	
