-158	-232	-198	-200	-161	-81	-183	-452	-270	-249	-245	-375	-282	-349	-114	-78	138	143	293	141	141	-35	189	214	78	-12	-14	-21	-51	108	
-38	-179	-149	-156	-106	-67	-81	-459	-368	-297	-348	-445	-329	-248	-142	-85	262	201	466	241	522	278	254	212	146	-28	-48	-142	-148	103	
-64	-38	45	-87	-37	-67	-191	-474	-443	-997	-403	-737	-429	-406	-121	42	422	50	702	341	1387	371	172	114	-58	-245	-129	-304	-188	-41	
-159	-53	-25	-14	38	160	-266	-693	-1475	-1725	-1260	-1258	-243	-498	0	-15	433	707	1444	654	1798	365	287	-103	-246	-215	-143	-205	-256	23	
-75	40	108	30	44	-59	-337	-1302	-1802	-2453	-1167	-1611	-372	-291	25	-22	708	780	1480	1176	3265	1343	353	-62	-144	-225	-210	-215	-192	-181	
109	181	115	51	-56	-96	-359	-2052	-2020	-2096	-859	-1258	-329	-319	-75	-64	671	689	1516	1428	3731	1734	316	90	-51	-146	-176	-176	-115	-108	
63	272	189	0	-222	-456	-721	-2474	-1973	-1632	-1198	-921	-315	-608	59	206	432	210	919	466	3194	1894	1730	221	97	-170	-170	-142	-182	-119	
85	112	-90	-141	-568	-1392	-1977	-2036	-1506	-1353	-403	-752	129	-135	-74	167	251	-141	419	233	2424	1379	2508	1447	480	-34	-82	144	-175	-63	
-158	-146	-350	-341	-892	-2007	-2165	-1802	-449	-315	-267	-291	155	-6	-63	-106	9	-260	-62	-272	957	1023	2756	1412	1387	129	130	353	128	48	
-165	-187	-468	-694	-1351	-2637	-1333	-1068	-247	61	469	-72	275	149	-64	-205	-106	-346	-133	-600	99	223	1624	1939	2051	607	489	367	112	188	
-412	-528	-587	-1473	-1430	-3441	-541	-786	359	279	1069	-36	499	394	170	-311	-257	-495	-399	-777	-409	-297	337	1377	2401	1111	484	357	120	-54	
-301	-641	-1415	-2316	-2444	-2574	-381	-423	1825	253	1713	43	752	471	196	-466	-113	-1092	-189	-1369	-871	-682	-124	568	3536	2535	791	458	192	31	
-390	-1106	-1272	-2857	-2760	-2637	-37	114	2457	183	1902	311	1876	563	238	-763	-837	-1749	-252	-1457	-1842	-917	-413	155	3624	2917	1292	979	472	271	
-655	-1042	-1367	-3191	-3505	-1975	460	887	3645	593	1846	602	3038	1793	375	-1396	-2607	-1839	-301	-1487	-1253	-1517	-2010	-42	3466	3334	2137	1407	835	342	
-897	-1363	-1863	-3239	-4471	-1896	576	887	4335	403	1959	1092	2757	1681	332	-1863	-2577	-1898	-482	-1709	-797	-2045	-1471	-96	3274	3733	2897	1596	938	605	
-510	-977	-3157	-3159	-4566	-1597	127	964	3185	262	1182	1186	1764	1532	358	-1381	-2472	-1764	-489	-1132	-694	-2015	-1529	8	3134	3160	3432	1613	921	502	
-547	-1266	-2438	-3302	-4122	-1802	-244	559	2112	157	841	398	996	1327	315	-1080	-2187	-1824	-622	-1147	-1209	-1679	-1675	-185	3099	2986	3725	1184	536	382	
-188	-336	-1799	-2237	-2919	-1234	141	370	1556	314	822	155	473	265	170	-598	-957	-704	-217	-821	-738	-1019	-420	122	3152	2639	1947	979	488	358	
-182	-321	-587	-1728	-2127	-1344	-344	17	1288	384	617	147	258	137	32	-339	-521	-495	-147	-541	-679	-653	156	849	2733	1997	1257	464	480	15	
-142	-165	-90	-1107	-1129	-1534	-1098	-335	438	297	591	-173	275	-15	-65	-106	-247	-260	-237	-407	-271	-201	917	1640	2558	885	498	-27	240	39	
-120	-90	225	-267	-568	-1912	-1961	-1599	-73	-73	312	101	40	-157	-113	-85	67	235	-133	-279	74	258	2455	1447	2104	173	161	90	240	127	
63	54	209	125	125	-1628	-2055	-2536	-370	-594	17	-259	-58	-441	-142	84	218	235	167	216	1065	685	2774	1482	1021	16	-326	-14	208	6	
-54	85	176	179	241	-1124	-1678	-2974	-1693	-1384	-339	-737	-422	-1049	-36	84	488	462	351	483	2389	1414	2950	1095	220	-109	-236	-203	8	-21	
-134	-90	234	264	384	-566	-956	-2552	-2035	-1771	-1506	-1028	-1375	-1475	127	215	388	506	1227	1554	2872	1663	2455	491	-35	-616	-305	-264	-76	-21	
-248	-90	244	260	81	-588	-1490	-1802	-2004	-1988	-2123	-859	-1161	-1886	-411	144	346	743	847	2058	2245	1236	1624	352	-110	-817	-319	-226	-169	-155	
-171	9	334	269	268	-23	-549	-630	-1678	-1926	-1861	-1228	-543	-1612	-29	212	339	379	1263	2274	1923	1094	599	81	-355	-731	-454	-291	-216	-181	
-278	0	146	215	174	-37	-227	-724	-915	-1477	-1152	-813	-415	-1262	324	59	240	210	1462	1968	1404	703	230	-83	-321	-716	-445	-317	-48	-74	
-215	-165	36	107	80	-191	-322	-536	-137	-656	-597	-1182	-172	-441	10	150	355	168	575	691	975	346	-49	-124	-293	-630	-292	-142	184	47	
-150	-127	54	26	57	26	-212	-321	-305	-548	-332	-644	-36	-137	21	178	154	67	201	141	257	162	-28	-261	-236	-266	-272	-257	-13	7	
