-175	-98	33	-118	-351	-309	-348	-472	-180	72	200	414	208	79	-213	-297	-277	-92	
-147	0	49	-42	-262	-311	-434	-788	-258	193	631	558	269	31	-245	-218	-280	-223	
-168	75	207	90	-193	-862	-1199	-1291	-427	104	699	538	381	189	-102	-251	-244	-223	
-73	58	70	-56	-340	-702	-505	-1018	-520	104	767	656	419	403	-100	-261	-145	-228	
-40	50	-42	-63	-407	-572	-273	-565	-170	-88	373	622	238	221	-40	-173	-145	-145	
-91	-126	-222	-159	246	-165	57	-157	-28	-34	192	-195	-141	12	70	-23	78	-98	
-196	-202	-416	-235	485	343	1125	798	129	-250	-303	-1201	-252	-100	-45	158	499	104	
-349	-437	-797	-263	564	1939	2523	1476	403	-257	-1339	-2202	-1570	-839	-80	203	1085	225	
-363	-452	-1474	-536	1589	2853	3169	2396	515	-365	-2543	-3047	-2439	-1537	0	399	1479	505	
-342	-422	-738	-390	1182	3169	3082	3004	1568	-210	-2897	-3808	-2523	-1732	31	529	1282	310	
-252	-126	-915	-551	510	2291	2855	2205	998	-445	-2189	-3484	-2299	-1537	47	407	987	343	
-162	-256	-444	-292	189	779	1929	1111	342	-108	-1381	-1835	-1093	-728	-126	125	397	62	
-168	-91	-70	-188	-200	253	415	32	222	-48	-234	-863	-294	-47	-70	91	163	-184	
385	133	-14	-187	-200	-485	-198	-558	-77	64	72	-41	404	358	-7	-26	-93	-116	
284	333	423	-249	-509	-1021	-621	-1234	-34	233	563	250	1019	1082	181	-93	-143	-180	
376	528	474	-214	-1004	-1050	-939	-2182	-434	345	921	1317	1490	1182	-73	-192	-203	-298	
318	456	288	-90	-844	-847	-982	-2053	-170	434	495	1266	1136	1032	62	-157	-174	-237	
175	200	192	57	-365	-572	-694	-1320	-102	215	360	944	484	497	55	-56	-99	-170	
-98	-35	224	214	-212	-427	-260	-788	-271	168	299	446	404	308	-34	-150	-99	-145	
-238	-35	190	70	-269	-446	-157	-386	-251	80	224	390	373	189	-113	-409	-169	-166	
