-422	-430	-271	-14	-117	285	67	-14	
-304	-340	-390	-156	-144	489	246	137	
-327	-1209	-595	-76	335	1422	292	291	
-895	-1312	-587	-207	491	1475	677	517	
-644	-1209	-1137	-227	360	1283	451	282	
-940	-1062	-946	-131	57	595	538	525	
-63	-167	-201	-145	0	505	137	48	
870	448	382	57	-311	-925	-918	-231	
1572	2693	1379	148	-1529	-2556	-2053	-244	
1608	2961	1965	559	-2269	-2831	-2742	-349	
1248	2514	1218	320	-1442	-2267	-2125	-400	
416	1333	305	115	-644	-1444	-1090	-251	
266	41	-111	90	-172	-458	-320	-129	
-105	-229	-770	-14	-42	179	137	-116	
-146	-333	-888	-310	902	617	300	96	
-91	-370	-756	-179	1008	1090	357	48	
-223	-650	-961	-227	375	566	-7	24	
-445	-591	-448	-220	131	268	-82	56	
-112	-429	-387	-162	16	105	-89	12	
