-63	207	24	-269	-96	-163	-218	-400	-250	-357	-807	-201	-34	251	164	234	82	247	166	-319	-126	-326	-52	
-98	109	-145	-65	-90	-178	-340	-536	-687	-801	-990	-410	-273	409	616	281	507	312	-69	-225	-134	-385	-200	
55	473	-104	246	171	81	-645	-778	-1839	-461	-877	-174	-54	605	1772	855	539	147	-119	-378	-274	-444	-163	
-63	473	156	409	210	-41	-1205	-1121	-1811	-1112	-1300	-247	-134	1188	1838	1003	650	201	-126	-576	-469	-738	-378	
7	140	248	352	302	-246	-1579	-1636	-1199	-1197	-962	39	15	772	1194	626	396	219	105	-520	-879	-596	-422	
-188	-9	162	160	-76	-650	-2283	-1178	-288	-150	-525	-104	-47	905	682	675	343	177	-60	-729	-831	-348	-300	
-63	-135	-42	57	-140	-198	-1737	-271	185	0	-139	-40	63	772	125	140	124	-249	-224	-348	-437	-422	-318	
-185	-423	-318	32	-340	-312	-408	201	858	384	222	23	205	543	-40	-231	-315	-343	-237	-141	-311	-259	-89	
-276	-548	-697	-571	-847	-301	137	1102	1304	716	622	333	181	-93	-658	-375	-1976	-569	-481	52	729	78	174	
-350	-723	-902	-1311	-1326	0	746	1620	2111	2080	1402	985	7	-399	-2204	-1103	-2372	-1167	-289	367	2222	166	472	
-209	-576	-990	-1690	-1283	570	1979	2068	2471	3171	2926	1591	165	-649	-2881	-1955	-1976	-2377	-348	1259	2014	431	371	
-279	-664	-1356	-1894	-1079	570	2535	2862	3071	3273	3383	1490	31	-1510	-3420	-2464	-2837	-2989	-111	2052	2732	940	480	
-251	-252	-1005	-1588	-1181	81	1719	2897	2917	2813	3197	1524	292	-2051	-3862	-2697	-2495	-2908	-259	1599	3015	1072	349	
-157	-146	-741	-1296	-1254	448	1771	2569	2351	1381	2604	579	237	-1954	-3116	-2725	-3042	-2023	-37	1580	2562	455	384	
41	8	-448	-454	-64	400	851	1464	1356	835	1283	254	7	-1010	-1334	-1777	-1347	-1833	604	1485	1239	323	69	
14	5	0	-7	49	366	73	481	225	536	302	-34	150	-352	-658	-1007	-650	-419	429	630	227	-171	-97	
19	82	256	312	57	65	-381	-136	-473	-169	-289	-401	-92	-100	-333	-408	-234	379	177	-252	-516	-252	-244	
91	123	303	670	-83	-157	-516	-578	-1171	-458	-1018	-488	-160	-20	-166	-53	240	482	155	-603	-942	-706	-60	
176	265	165	1536	540	171	-946	-1121	-1327	-900	-1723	-420	-40	346	407	872	543	688	184	-509	-1304	-1100	-1151	
150	438	57	1624	1043	415	-458	-1865	-2095	-1155	-1328	-855	-140	440	1244	1282	567	412	8	-414	-705	-1116	-426	
-133	146	90	440	487	24	-731	-1493	-1355	-1367	-680	-714	-7	196	1145	1233	256	385	157	-244	-208	-533	-259	
11	-13	89	180	442	293	-415	-1135	-957	-942	-751	-658	197	196	864	1052	700	309	23	-230	-275	-363	-230	
108	65	99	106	417	464	-245	-502	-331	-491	-362	-321	252	385	478	522	353	73	-141	-267	-223	-252	-207	
