-89	-140	-52	65	29	-69	-72	-29	-96	-264	-337	-120	-134	-358	0	-119	116	156	41	139	383	-15	-28	115	182	175	-44	-22	-36	-317	
-133	-65	8	44	245	-73	-87	-58	-86	-715	-390	-226	-303	-436	-216	-98	-14	206	162	163	399	66	-21	273	231	199	26	-80	47	-76	
-109	-118	-77	-81	78	-51	-19	-230	-308	-897	-686	-643	-522	-436	-168	-42	82	396	238	340	342	225	137	635	272	111	31	-233	-171	-72	
-116	-221	-117	-95	201	270	295	-108	-1039	-1582	-1034	-1140	-447	-1122	-211	-42	107	331	387	691	725	357	912	841	184	175	87	-133	-186	-100	
-369	-243	-37	35	78	323	36	-373	-1558	-2083	-1261	-1577	-792	-913	-746	25	204	437	776	849	1597	1180	1551	1339	104	-27	63	-200	-185	-166	
-546	-155	124	-59	236	253	-101	-1366	-2276	-1962	-2305	-1683	-672	-239	-791	-279	82	223	1076	656	1894	2083	1930	1493	240	-47	-101	-179	-186	-106	
-346	-228	150	-190	79	104	-303	-1826	-2826	-2768	-2018	-1848	-310	-323	-468	-146	182	-83	1006	360	1684	1285	2172	1853	392	-47	-17	-146	-156	-185	
-229	-235	-142	-212	-62	-138	-418	-2164	-2505	-2068	-1215	-1035	84	-274	-313	-126	282	-173	468	131	1195	357	1689	2402	921	39	26	-187	-107	-151	
-133	-212	-271	-614	-469	-641	-1368	-2394	-1711	-1445	-988	-462	287	-141	-203	-181	8	-276	41	-137	456	16	1171	2333	1620	317	269	54	-47	-96	
-150	-206	-287	-677	-559	-1508	-1969	-1673	-550	-413	-78	-219	54	16	-175	-258	207	-145	-207	-398	105	-645	355	1407	1960	1147	492	181	133	-47	
-163	-199	-379	-786	-1444	-2576	-2000	-1089	-315	-193	290	-57	135	33	33	-11	43	-304	-495	-514	-232	-731	-55	841	1654	1385	1355	413	448	157	
-207	-274	-242	-1271	-2191	-3506	-1214	-237	-22	582	1074	322	580	311	92	-140	-108	-332	-655	-1254	-1170	-1104	-244	-61	1040	1605	2500	1049	1088	-7	
-336	-448	-297	-1536	-2533	-3784	-1491	190	740	1010	1833	314	1294	579	231	-195	0	-844	-261	-1471	-925	-1421	-792	-270	448	2028	3257	1852	1254	31	
-342	-463	-580	-1896	-3249	-3815	-874	173	1839	1271	1629	314	1386	1253	991	-258	-503	-1620	-873	-1312	-896	-2067	-964	-672	200	2401	3729	2052	1371	384	
-428	-388	-322	-2130	-3062	-3506	-751	320	2401	954	2222	370	1184	1071	1915	-299	-1062	-2426	-902	-1616	-1459	-2067	-1121	-1071	80	2384	4352	2153	1504	616	
-222	-338	-461	-2302	-2767	-3506	-489	372	2307	936	1870	370	1404	1162	1082	-28	-1209	-2235	-1121	-1326	-1083	-1967	-1393	-530	320	2401	3476	2136	2202	352	
-214	-294	-417	-2052	-2611	-3707	-555	129	1876	824	1518	480	1239	1235	1372	-56	-1032	-2089	-786	-1225	-925	-1737	-1593	-559	568	1876	3342	1902	1653	391	
-151	-206	-191	-1599	-1864	-3552	-936	-230	602	574	1333	20	671	-29	955	-7	-1165	-1254	-344	-557	-383	-1133	-964	-176	1347	2181	2820	1550	673	329	
-186	-323	-234	-1286	-1226	-3103	-1337	-302	568	462	1111	271	498	305	810	-49	-723	-624	-427	-473	-226	-875	-461	136	1858	2028	2214	1149	407	117	
-133	-446	-240	-197	-515	-2003	-1429	-1120	-50	274	722	-57	59	-57	753	-133	-492	-373	-172	-369	-210	-340	-34	807	2370	1723	1103	474	275	-159	
-199	-215	-81	0	-247	-1105	-905	-1841	-1405	-306	196	-85	-183	-316	502	7	99	-201	-229	-196	97	-130	573	1562	2710	2062	381	197	118	-101	
-191	-133	150	8	-196	-354	-1429	-2087	-3223	-958	-277	-240	-204	-585	108	-437	-99	-113	-145	2	399	694	1274	1836	2523	1588	71	79	-67	-66	
-156	122	189	105	157	-102	-720	-2317	-3284	-1399	-525	-583	-387	-779	33	-192	207	-7	-110	-48	627	1684	2776	2008	1978	572	-41	-67	-166	-100	
-161	-118	128	282	473	419	-375	-1396	-3025	-1916	-1337	-974	-1302	-1092	-70	-74	159	280	312	450	733	1528	1723	1802	818	446	-261	-140	-160	-245	
-229	-81	159	291	405	401	234	-629	-2016	-1642	-1730	-1713	-987	-1062	-271	-71	224	322	616	884	1108	1389	895	1201	520	79	-280	-236	-87	-193	
-129	-118	131	273	456	384	136	-352	-1619	-1612	-2184	-1758	-1212	-1003	-328	-160	323	371	1394	1341	1422	1111	757	481	200	-94	-394	-211	-14	-145	
-98	-140	-12	88	456	373	278	-187	-977	-1110	-1473	-1140	-619	-1018	-642	-362	132	223	988	638	1213	451	619	185	50	-94	-361	-200	-124	-139	
-118	-419	-125	-124	342	375	652	-72	-400	-471	-489	-342	-338	-570	-598	-112	79	181	328	352	671	316	250	144	-88	-191	-294	-173	-140	-133	
