-117	-156	63	-29	-35	-169	-388	-682	-232	-213	-98	-178	-102	
-128	-34	-25	-102	-280	-140	-568	-814	-344	-233	228	34	32	
-128	-128	-65	-71	-156	-230	-871	-463	-317	-90	643	56	56	
-142	-100	-36	50	-42	-496	-1032	-380	-159	327	576	121	226	
-121	-92	26	100	-147	-807	-959	-552	-145	761	1213	712	549	
-93	42	135	138	-84	-940	-797	-1386	-234	709	619	1076	688	
-109	-57	236	87	-217	-969	-1680	-1137	-365	90	627	868	710	
-213	-170	-162	-95	-148	-251	-576	-346	-179	-62	81	48	40	
-248	-184	-584	-228	-28	350	348	256	-49	-644	-1026	-889	-190	
-305	-403	-1737	-204	234	1806	2621	1450	254	-1819	-3004	-1938	-346	
-369	-929	-1542	-361	-28	1842	2907	1770	246	-2211	-3235	-2699	-349	
-362	-462	-927	-137	276	1590	2192	1521	115	-1297	-1921	-2412	-258	
-326	-507	-429	-64	117	906	903	1041	49	-528	-650	-1363	-177	
8	-113	-134	-110	-84	141	149	-42	-3	-117	-110	-232	-10	
-21	67	177	-155	-182	-174	-451	-244	-100	-42	383	121	36	
-8	120	185	33	-76	-42	-413	-580	-110	90	453	146	-68	
68	237	139	109	-1	7	-369	-551	-214	65	231	154	-81	
-192	-170	25	-15	-42	-160	-304	-448	-186	-76	103	89	-100	
-192	-92	42	-17	-56	-190	-238	-448	-69	-28	171	-21	-92	
-123	-36	-13	-36	50	-306	-351	-428	-110	49	100	-39	-82	
-227	-55	-22	-113	83	-126	-254	-428	57	-179	-13	-150	-81	
-333	-143	-127	-183	242	-265	-111	-421	-115	-79	-13	-41	48	
