-119	-230	-409	-456	-35	94	83	-22	0	
-98	-249	-568	-521	-110	-103	114	-21	-19	
0	-98	-664	-800	-296	-158	440	105	218	
-38	-327	-1062	-1151	-372	237	758	382	355	
58	-807	-1018	-1591	-372	409	1370	989	565	
-349	-1058	-915	-1664	-220	114	1160	746	589	
-245	-1102	-900	-829	-379	-103	407	381	146	
-196	-112	-215	-97	-351	-158	220	-109	-102	
67	400	448	720	-104	-427	-925	-1377	-346	
25	1752	1941	1610	115	-1399	-3206	-2843	-449	
75	1950	2550	1521	287	-2298	-3451	-3130	-535	
284	1698	2406	1628	551	-1326	-2181	-2613	-400	
201	888	564	649	320	-1007	-780	-1248	-454	
-259	8	49	-118	131	-165	-55	-164	-265	
-257	-188	-575	-521	-138	106	554	121	-95	
-159	-38	-428	-492	-413	442	468	243	-55	
-175	-274	-606	-1078	-255	343	636	219	-210	
-342	-341	-437	-800	-138	305	636	129	-40	
-239	-289	-291	-682	0	204	432	-21	-28	
-238	-285	-368	-428	-65	122	399	-55	56	
-122	-299	-361	-256	49	-35	122	-109	121	
