-113	-125	-140	-153	-325	-310	-137	60	-36	24	
-122	-7	-348	-368	-390	-447	-322	211	88	72	
16	167	-437	-547	-419	-346	-117	391	105	-109	
126	-86	-644	-1047	-902	-399	343	774	113	218	
58	8	-762	-929	-1459	-330	335	1335	316	347	
50	-161	-955	-753	-1664	-303	368	1160	416	428	
-75	-342	-1236	-738	-961	-440	147	1248	642	242	
-74	-185	-188	-312	-221	-351	-151	611	73	137	
-148	-133	366	290	223	-330	-804	-592	-831	-373	
-253	117	1590	2299	1503	-124	-1703	-2859	-2311	-392	
-197	376	1536	2514	1592	197	-2255	-3365	-3102	-435	
-155	259	1410	2657	1129	246	-1108	-2080	-2584	-339	
-8	58	906	1208	703	263	-165	-722	-1852	-278	
-99	-210	391	-28	99	238	40	-137	-279	88	
-50	-184	-49	-451	-477	98	98	358	97	52	
-211	-230	-160	-575	-741	-55	401	371	89	8	
-316	-363	-363	-267	-785	-234	343	306	105	-197	
-169	-461	-437	-312	-668	-117	81	206	170	33	
-239	-327	-330	-236	-492	-198	-35	268	24	26	
-162	-119	-320	-416	-359	-145	73	432	-14	-7	
