448	-83	-131	-148	-133	-238	-549	-986	-310	-469	-470	-476	-97	-67	-43	62	168	280	257	507	316	253	17	-126	-99	
171	-76	123	-11	-82	-472	-935	-1171	-370	-1173	-462	-588	-288	-80	18	132	224	332	767	1051	288	314	64	-30	-7	
27	37	18	-173	-396	-1492	-1336	-1000	-843	-2019	-490	-979	-385	-60	-36	-151	1287	1231	1013	1919	420	539	272	86	0	
190	49	-152	-302	-636	-2024	-1950	-1839	-1707	-2596	-560	-1495	-345	47	49	-223	2243	1402	1656	2864	997	634	333	104	8	
38	-28	-145	-340	-376	-2484	-2594	-2750	-2528	-2949	-771	-1732	-87	15	249	388	1708	2139	2563	2751	1469	1030	323	113	39	
-42	-165	-269	-775	-910	-3662	-4038	-3775	-2868	-3061	-574	-1034	-296	-47	265	442	930	1496	2260	3997	2262	2709	621	139	87	
-284	-318	-482	-1065	-2253	-4840	-4610	-4529	-2500	-2075	-307	-490	-14	-5	101	303	523	324	1504	5905	3432	4200	1055	419	298	
-374	-276	-902	-1544	-2989	-5760	-5297	-4600	-1622	-1314	-161	-340	173	-60	-33	146	54	-104	597	6679	4754	5163	2413	978	261	
-381	-551	-1165	-1718	-3090	-6478	-6012	-3675	-433	-553	174	-153	487	-166	-224	-223	-347	-496	26	5508	5169	6937	2865	1147	445	
-146	-401	-1223	-2211	-3870	-7053	-5811	-2907	-169	-88	373	130	174	-265	-224	-268	-408	-813	-237	4602	5339	8144	3488	2165	480	
-299	-565	-1223	-2458	-5011	-7369	-5154	-2622	128	342	231	190	42	-135	-163	-217	-262	-1176	456	4299	5528	8899	4072	3372	211	
-312	-639	-1325	-2748	-5329	-8131	-4410	-2295	304	352	246	55	204	-66	-73	-368	-524	-1302	-1060	3053	4433	8861	4412	3033	569	
-277	-653	-1267	-2762	-4780	-7154	-4567	-2138	-285	350	349	137	204	-257	-189	-196	-164	-237	-367	1504	4471	7427	4506	2580	399	
-548	-682	-1004	-2516	-4506	-7240	-4868	-2238	344	-34	182	74	0	-357	-230	-109	154	-98	-282	2562	5037	6823	4242	2750	401	
-361	-325	-786	-1906	-4520	-6823	-4839	-2835	-48	-181	63	-20	-139	-357	-310	-161	487	-25	96	3487	4546	6295	3488	1656	602	
-277	-272	-97	-1761	-3668	-6536	-4410	-3518	-303	-335	-194	-147	-91	-100	-264	17	626	485	805	4847	4924	5351	3639	1430	218	
-146	-193	-76	-1529	-1733	-5257	-4095	-3632	-914	-990	-1037	-588	-256	-189	-112	133	634	534	2260	5886	4490	4068	1922	657	157	
-77	-156	-193	-949	-823	-3748	-3466	-3689	-1990	-1497	-1247	-951	-47	-52	-54	-7	704	645	3224	5905	3319	2464	847	-78	-141	
-134	-159	16	-274	-342	-1923	-2808	-3305	-3123	-2512	-1121	-1132	-285	-284	-42	356	1595	1477	3035	5263	1998	1955	192	26	-193	
-146	-97	-153	-268	-76	-1349	-2322	-2778	-2727	-2667	-1303	-1732	-398	-311	-83	496	1271	1931	2411	3959	676	1200	-156	-148	-120	
-120	-138	-125	-42	-116	-530	-1050	-1612	-2514	-2230	-1149	-1481	-358	-311	140	442	278	2309	2374	1485	122	-30	-126	-244	-212	
-111	-152	-165	-42	-103	-245	-1264	-1057	-1835	-1723	-701	-1132	-330	-131	210	69	645	1893	1107	748	204	-15	166	-77	-182	
-70	-93	-101	-7	-7	-82	-671	-573	-404	-1215	-428	-630	-312	-93	218	156	340	1496	402	367	-37	-45	62	-62	-111	
-91	-112	-105	-110	-42	-130	-461	-317	-189	-596	-274	-504	-160	23	60	151	386	1061	464	166	11	-126	-116	-119	69	
