-14	-106	-41	-243	-198	-305	-468	-240	-80	-340	109	-17	23	175	236	-23	0	
138	-136	-104	-374	-313	-369	-474	-435	-247	-155	4	106	65	149	367	210	105	
54	-143	137	-630	-310	-863	-728	-769	-107	-232	169	372	147	240	597	350	181	
236	-149	-326	-672	-758	-1680	-1107	-1690	-285	-245	335	372	162	586	612	385	178	
-73	-361	-278	-1114	-1410	-2709	-1654	-2067	-52	-238	195	326	1157	665	881	367	70	
-267	-716	-468	-1996	-2274	-3512	-2425	-2681	-246	-72	358	442	2243	1572	1353	420	220	
-178	-1090	-1293	-2537	-3845	-5090	-2509	-2876	-385	-159	335	629	2696	2763	2619	1863	245	
-273	-1521	-1750	-3134	-5219	-6147	-2355	-2109	-52	-68	-33	368	2502	3614	3224	2618	385	
-390	-1377	-2608	-4273	-6890	-6048	-2116	-714	354	-27	-691	-237	3474	5693	3886	2562	490	
-471	-1636	-2608	-5269	-7598	-6091	-1359	-180	1072	62	-1570	-1224	3636	6431	4320	2807	298	
-485	-1679	-2537	-5511	-7598	-6964	-1051	0	1371	70	-1887	-1470	2486	6431	4018	4394	298	
-444	-1765	-2708	-5653	-7456	-7049	-897	-34	2019	180	-1873	-937	2615	6790	4566	3846	431	
-355	-1593	-2093	-4813	-6932	-6133	-1640	-853	955	-133	-938	-704	2680	5958	3489	1882	563	
-301	-1406	-1879	-3846	-5941	-6048	-2537	-1844	141	-298	-237	-400	3214	4843	2487	1315	431	
-287	-395	-1393	-2679	-4525	-4667	-2355	-2276	102	-298	-132	334	2000	4181	1901	2146	183	
-252	-286	-1393	-1797	-3251	-3639	-2425	-2150	-166	-258	34	303	1109	2082	956	612	218	
-164	-245	-210	-1384	-1650	-2357	-1191	-1830	-213	-265	-22	367	963	569	113	341	271	
97	-211	-55	-1142	-843	-1455	-394	-1537	-279	-131	-58	226	742	534	113	148	113	
26	8	-93	-250	-283	-539	-207	-839	-272	-159	7	147	201	411	-126	-126	-200	
