-135	44	-25	203	181	122	-58	-182	-175	-160	-136	-298	-598	-328	-195	-77	-115	21	247	189	8	177	0	-49	-183	-173	-108	-54	-40	
-61	-54	82	276	432	-22	-145	-224	-259	-214	-264	-731	-598	-240	-148	-35	-98	74	330	493	278	440	132	-7	-243	-283	-195	47	55	
-97	-149	-96	389	511	447	-275	-418	-660	-901	-897	-1821	-899	-282	-330	58	100	547	421	581	442	724	97	0	-34	-431	-168	-121	-94	
-167	-347	231	434	887	1384	-167	-368	-251	-1527	-2205	-1473	-1095	-521	-406	201	582	725	1254	1359	1201	1160	284	-109	-231	-532	-222	-127	86	
-141	-347	-8	717	1426	1921	-131	-576	-905	-2108	-2114	-2230	-1577	-837	-1271	209	636	1369	1983	1483	1763	1108	642	-28	-260	-900	-441	-234	-27	
-140	-303	222	1304	1754	1710	-167	-1506	-1335	-2551	-1794	-1927	-1336	-1197	-854	175	425	1476	2161	1642	1306	1422	1458	16	-216	-1339	-314	-287	-207	
-67	-126	356	1246	1985	1595	-703	-1645	-1458	-2368	-1232	-1745	-1713	-987	-824	234	391	617	1432	1518	491	811	2535	121	-135	-1367	-680	-341	-107	
-137	-84	142	781	1734	552	-780	-936	-1611	-1069	-1065	-1352	-1743	-1092	-288	-63	191	429	382	1006	81	472	2413	895	-54	-900	-262	-201	-34	
-148	-78	94	345	443	140	-563	-350	-737	-86	-185	-617	-1020	-626	-57	-21	191	250	206	559	-427	211	885	981	257	-384	-319	-167	0	
-25	-67	-30	73	-117	-254	-268	-245	-130	310	171	-312	-447	-394	176	-84	175	174	-159	-14	-963	-294	178	541	369	96	-295	-147	-12	
-49	-133	-272	-458	-677	-494	-167	565	376	864	359	162	-135	-43	412	-154	-209	-444	-741	-771	-1747	-520	-300	129	584	870	119	198	142	
-142	-148	-1076	-956	-1474	-262	200	1561	2374	2326	1476	1889	1217	964	871	-702	-955	-1342	-1635	-1690	-2298	-1127	-1694	-95	481	1091	876	381	221	
-259	-244	-1155	-1898	-1849	-651	506	2149	3014	3750	2054	4057	2967	1697	579	-747	-1502	-3373	-3319	-2287	-2704	-1502	-2714	-434	635	1585	1554	749	982	
-455	-487	-1660	-2086	-2146	-666	650	2357	2713	3694	2371	5187	3833	2027	907	-1162	-1945	-5595	-4359	-3716	-2995	-1748	-2886	-1221	721	2642	2011	1759	948	
-444	-290	-1707	-2557	-2911	-324	555	3134	2995	3563	2557	6947	4625	2375	944	-1147	-2537	-6537	-5018	-4445	-2821	-2527	-3403	-2108	635	3375	2486	1473	865	
-376	-560	-2085	-3060	-3349	-262	1317	3362	2958	4462	2930	6966	4846	2759	1071	-1118	-2522	-6037	-5385	-4256	-2168	-2758	-3274	-1464	807	3512	2520	1776	731	
-370	-448	-1959	-2934	-3443	-428	1317	3077	3354	3825	3060	5706	4220	3016	1362	-924	-2463	-4962	-4198	-3483	-2008	-2123	-3317	-1378	344	2710	2265	1389	831	
-306	-450	-603	-1364	-2677	-775	593	2035	2449	2401	2669	3834	3151	2082	907	-461	-1428	-2858	-2601	-1996	-1761	-1748	-2929	-1135	378	1909	1605	420	384	
-156	-244	-265	-580	-1583	-620	113	391	1054	1895	1439	1926	1291	1294	437	-35	-1073	-871	-1532	-1034	-1007	-1141	-2024	-468	618	1040	521	47	347	
-37	-37	-177	168	-401	-490	-304	504	564	1239	454	273	93	912	126	117	-285	323	-249	-351	-439	-464	-702	-217	442	288	-88	-194	-94	
-8	80	195	242	-22	-635	-1059	-51	103	180	171	-397	-1020	-190	7	234	58	1601	33	115	-21	-110	105	325	158	-390	-436	-381	-187	
125	161	347	629	829	-269	-1554	-1676	-598	-412	-157	-1155	-1577	-366	-141	376	384	2997	507	599	352	619	746	581	257	-1141	-920	-602	-317	
287	281	596	1769	1484	114	-1214	-2108	-1627	-1436	-624	-1579	-2059	-577	-400	309	870	3516	1539	1182	621	1457	1250	468	-365	-1537	-1314	-448	-227	
287	80	400	1750	2312	649	-641	-1846	-2348	-2414	-1749	-2078	-2767	-657	-218	561	1212	3498	2321	2049	1957	1702	2049	323	-1213	-1920	-1497	-476	-293	
179	-59	240	1595	2004	1288	-196	-1938	-2148	-2582	-1916	-3395	-2496	-957	-169	283	708	3015	2019	1907	1377	1492	1493	56	-1299	-1934	-1060	-568	-313	
-8	36	258	1634	1503	1365	-51	-1337	-1642	-2979	-1916	-2850	-2195	-627	-421	33	132	2389	1254	1589	1095	888	868	-95	-801	-1495	-356	-314	-60	
-8	-45	26	1304	1522	943	-37	-562	-1274	-2184	-1566	-1972	-1336	-657	-421	234	258	1834	756	1448	814	528	347	-224	-872	-886	-652	-301	-94	
-55	-29	-23	319	590	359	-94	-245	-537	-686	-973	-686	-748	-401	-393	159	434	1172	382	460	376	65	-21	-34	-672	-202	-315	-301	-74	
