-70	448	150	90	-45	-314	-616	-258	-1099	-390	-342	-161	189	291	181	39	19	-24	-89	-311	-206	
115	473	16	690	-69	-260	-817	-535	-1555	-758	-849	-227	442	454	360	166	57	-92	-171	-348	-274	
166	254	239	715	393	-192	-1047	-1035	-1882	-1311	-765	15	346	723	1244	593	69	40	-223	-578	-171	
108	156	-28	520	335	-157	-1880	-1579	-2223	-1381	-1018	31	252	1221	1756	1430	209	123	-182	-398	-341	
139	118	198	415	319	-198	-1363	-1307	-1640	-1410	-1075	-114	245	1487	1145	773	370	205	-97	-489	-308	
33	-21	82	183	221	-253	-1349	-692	-1028	-872	-920	-61	189	629	847	658	567	100	78	-264	-193	
-237	-277	-7	16	-90	-41	-659	-136	-176	-249	-108	63	-293	133	117	335	197	107	136	62	481	
-167	-423	-187	-434	-315	-14	-21	411	807	665	111	111	-333	-411	-1058	-204	-568	100	297	0	265	
-327	-437	-814	-815	-543	374	903	1378	2333	2472	809	293	-281	-1176	-2301	-1873	-800	-706	570	551	401	
-256	-311	-1415	-1442	-717	268	2344	2569	3723	3921	2062	150	-386	-1815	-4234	-3000	-2167	-1629	1666	1731	597	
-186	-517	-1312	-2142	-949	566	2431	3345	4443	4466	2841	254	-449	-3578	-5091	-3494	-3343	-1697	2044	1126	1145	
-555	-1047	-1239	-2419	-1297	1213	2309	3656	4237	4364	2926	23	-518	-3758	-5367	-3810	-3630	-1343	2271	1542	1749	
-216	-520	-829	-1500	-1065	619	2344	2500	3414	3461	2469	15	-286	-2953	-4483	-3027	-1880	-1860	990	2015	498	
-227	-387	-404	-1034	-949	252	1424	1326	1750	2455	1537	306	-147	-1773	-3199	-1639	-1388	-1194	1534	1580	236	
-77	-170	-159	-407	-499	-130	259	339	413	1142	374	-181	-181	-497	-851	-244	-827	-314	788	516	-8	
-31	-56	99	90	-336	-328	-368	-149	-291	112	-7	-194	102	196	148	39	-263	-121	-45	78	-355	
108	108	165	633	-7	-578	-1076	-1092	-1540	-1197	-581	-267	173	1121	1392	1003	857	139	43	-185	-248	
183	215	297	464	221	-448	-1363	-1908	-2451	-1962	-736	-187	126	2102	2037	1856	1427	193	-407	-215	-169	
110	184	231	705	278	-280	-1579	-1793	-2622	-2684	-441	-174	396	1869	2482	1873	474	125	-293	-341	-134	
58	182	-104	438	297	130	-1564	-1736	-2551	-2429	-349	-167	276	2135	2350	1922	598	425	-160	-422	-97	
33	95	49	260	167	0	-1162	-1107	-1583	-1608	-1004	-21	466	1869	1657	1577	1166	209	-92	-185	26	
-35	-25	44	210	114	-76	-443	-651	-1128	-1070	-436	-274	158	1554	1012	647	279	35	-18	-108	175	
-119	0	62	123	-14	73	-630	-510	-297	-263	-236	-154	119	236	781	413	140	66	36	85	111	
