-116	-128	-117	-261	-235	-136	-82	-244	-324	-322	-394	-140	-338	-171	-127	-159	-52	167	131	179	183	244	34	-44	-87	-37	
-125	-118	-150	-165	-226	-184	-122	-183	-532	-553	-462	-180	-200	-146	-174	11	247	320	334	253	280	288	92	-23	-44	-89	
-157	-187	-200	-160	-178	-238	-183	-573	-1141	-1497	-757	-811	-135	-238	-145	132	657	534	643	899	482	349	69	17	26	43	
-188	-290	-180	-344	-351	-272	-366	-1754	-1650	-2075	-1289	-1397	-607	-298	23	295	644	752	805	994	402	323	87	33	115	83	
-222	-229	-199	-240	-607	-774	-1050	-2380	-2840	-3047	-1528	-1746	-621	-533	218	411	875	674	1637	2241	204	550	253	61	152	35	
-179	-270	-266	-268	-533	-1607	-1979	-3305	-3760	-3597	-1598	-1244	-259	-172	70	93	1423	1969	2563	3525	1847	1426	201	124	139	130	
-250	-243	-324	-336	-795	-2484	-3681	-4472	-3605	-3273	-504	-783	-146	-67	117	155	1021	639	2676	4205	3527	3219	419	302	253	61	
-194	-227	-310	-702	-2008	-3777	-5068	-4614	-3166	-2822	-7	-134	55	28	93	256	309	641	1693	4885	4811	4313	1771	412	380	340	
-174	-258	-379	-1573	-2672	-4711	-5840	-4500	-2047	-2174	412	-114	86	10	45	85	30	-77	350	4639	5396	6295	2243	1355	331	401	
-171	-249	-523	-1790	-1993	-5760	-6469	-3817	-886	-1004	1120	71	68	-47	-7	4	-26	-84	-119	2939	5056	7088	3242	1901	637	619	
-132	-360	-932	-1790	-2325	-6967	-6341	-3675	-276	-429	1204	268	165	-337	-126	-36	36	-111	-509	3015	5056	7918	4336	2618	1059	506	
-236	-449	-669	-2400	-3986	-7053	-5840	-2978	-135	-168	1136	213	-6	-630	-232	-40	317	-316	-260	1976	4433	8748	5147	3429	550	122	
-336	-741	-567	-2023	-4130	-6751	-5726	-2722	-195	-44	539	55	-166	-292	-227	-164	-232	-412	-1202	1976	4112	8427	5958	3259	701	165	
-167	-430	-232	-1457	-3740	-6823	-5297	-2722	-249	-34	428	-127	-138	-238	-218	-59	-17	-336	-745	2977	4207	7333	5864	2392	343	139	
-257	-341	-255	-1399	-3307	-6665	-5011	-3148	-431	-268	18	-197	-174	-205	-186	-116	-91	-168	-461	2883	4716	7125	4770	2505	475	410	
-245	-323	-330	-1602	-2946	-5214	-4725	-3561	-1042	-342	-301	-658	-153	-274	-204	-276	-63	0	-15	3072	4981	6068	3846	1449	296	122	
-214	-250	-303	-1268	-2441	-4007	-4725	-3789	-1849	-1342	-221	-1202	-80	-188	-280	-116	340	249	464	4696	4830	5031	2658	1034	-97	-5	
-91	-159	-145	-615	-1300	-2757	-3581	-4031	-2047	-2033	-406	-1579	-7	-350	-295	-245	380	630	956	4602	3942	3408	1375	567	-82	0	
-81	-49	-90	-180	-463	-1880	-2480	-4059	-2443	-2512	-1626	-1955	-179	-368	-348	-3	742	1704	2033	3941	3055	1841	244	349	-67	-8	
-78	-96	-165	-263	-396	-889	-1679	-2949	-3293	-2329	-1780	-1871	0	-713	-99	152	796	986	2166	3525	1639	785	258	218	8	-58	
-153	-90	-117	-159	-130	-817	-1421	-2167	-2203	-2371	-1654	-1746	86	-248	-106	-86	690	1326	1410	2505	393	313	-215	-318	-37	74	
-111	-158	-152	-124	-147	-327	-495	-1469	-1282	-2005	-757	-1551	-259	-258	-106	147	727	2555	1561	1258	525	192	-237	-222	-185	-52	
-153	-125	-144	-137	-7	-211	-61	-829	-787	-1145	-308	-1188	-288	-126	-82	55	827	1893	542	498	341	297	-122	-148	-22	58	
