-189	-126	207	14	-76	-199	-419	-198	16	80	253	350	109	142	
-98	55	88	-132	-172	-315	-388	-368	-124	176	328	398	279	213	
117	91	56	-145	-165	-136	-448	-688	-319	201	472	1283	396	110	
83	145	65	-90	-310	-528	-881	-1277	-488	144	801	1063	579	379	
-28	3	43	-143	-407	-963	-1228	-1219	-835	72	1040	555	833	397	
-42	-50	8	-118	-344	-1413	-751	-476	-463	-203	716	390	665	276	
-112	-167	-28	-137	-186	-233	48	-177	-414	-196	416	-141	-34	-60	
-217	-422	-340	-214	8	409	1038	438	-122	-249	-330	-990	-406	-490	
-494	-452	-694	-173	411	1711	1999	2188	266	-345	-1608	-2512	-1219	-1104	
-587	-748	-1253	-373	988	2484	3222	3004	394	-630	-2472	-3625	-1976	-1746	
-454	-526	-1327	-187	740	3204	3921	2795	774	-402	-3293	-3766	-2495	-2192	
-419	-333	-1121	-359	599	2870	3082	2587	481	-331	-2939	-3075	-2677	-2095	
-377	-209	-620	-235	16	1974	1335	1180	463	-81	-1381	-1807	-1780	-1495	
-154	-163	-319	-170	-138	463	163	16	170	-81	-433	-539	-532	-309	
-56	33	149	-332	-669	-336	-205	-875	-82	48	-68	119	452	300	
144	166	51	-352	-757	-1094	-564	-1650	-244	329	96	978	1406	395	
57	-7	241	-152	-494	-1848	-2109	-2067	-251	442	324	1944	1069	530	
92	-7	438	-187	-365	-1036	-1878	-2067	-224	224	408	1876	1254	347	
135	183	252	-35	-303	-615	-722	-1306	-82	273	392	1131	1086	316	
108	225	145	-76	-454	-543	-232	-846	153	-81	304	876	381	181	
