-36	41	39	82	-351	-384	-198	-472	32	55	264	295	162	79	-40	-159	-168	-104	147	
-7	108	0	-18	-124	-615	-1170	-716	-251	-75	232	741	166	165	133	-271	-218	-112	122	
13	133	26	-28	-49	-731	-1372	-1148	-312	-176	544	876	373	781	141	-337	-237	-123	105	
75	95	0	-187	-296	-775	-1430	-1435	-549	-223	402	673	1187	1316	39	-210	-303	-245	170	
242	175	-146	-104	-165	-1007	-982	-1205	-271	-203	175	302	325	781	-14	-238	-196	-228	-138	
68	33	-174	-76	-55	-398	-178	-48	-7	-102	-61	-41	-41	94	-20	-70	-14	-105	-141	
41	-181	-201	-83	68	0	611	903	137	-277	-276	-849	-546	-260	-132	-7	327	-73	-163	
-321	-511	-499	-118	411	1060	2191	1667	508	-365	-1410	-2131	-1668	-937	-239	500	511	-138	-275	
-656	-999	-723	-477	864	1798	3589	2743	912	-872	-2415	-3315	-2635	-1537	-332	1079	855	0	-125	
-433	-1132	-1194	-235	634	2308	3711	3403	843	-291	-2826	-3667	-2593	-1592	-259	864	1069	404	-147	
-349	-955	-709	-249	245	1587	2925	2795	429	-277	-2373	-2582	-2509	-1858	-140	478	632	240	-10	
-189	-98	-326	-265	-241	972	1964	1389	-89	-14	-1098	-1709	-1289	-1132	-160	225	421	71	-27	
-126	-160	-326	-243	-155	106	531	129	201	-27	-532	-322	-254	-153	31	164	93	-51	-112	
226	-14	-215	-239	-241	-370	-477	-340	70	193	-236	271	563	442	299	87	7	-256	-93	
207	175	182	-256	-407	-1254	-1329	-1579	226	361	88	1029	1692	1065	102	-119	-283	-328	-142	
146	208	331	-221	-713	-1428	-1618	-2125	-454	167	440	1622	1540	1400	-93	-265	-459	-364	-223	
50	100	402	-125	-567	-1094	-1589	-1823	-326	321	376	1622	1658	630	243	-476	-609	-446	-281	
-154	166	216	-49	-276	-775	-1170	-1363	-265	193	887	1063	716	268	424	-298	-382	-53	-976	
-118	-49	51	-69	-303	-659	-679	-1076	-163	-41	480	366	-7	15	74	-212	-309	-409	-976	
