-70	-46	-104	-207	-220	-206	-279	-354	-217	-156	224	79	117	71	
-49	116	-77	-159	-214	-238	-347	-388	-373	-102	456	478	277	213	
-28	441	61	-35	-275	-630	-1040	-831	-495	-61	552	588	410	363	
-35	149	-84	-49	-214	-746	-1343	-702	-478	-183	614	978	412	356	
-133	9	-236	-115	-97	-949	-574	-361	-306	-203	288	419	127	197	
-140	-106	-236	-76	131	-456	-246	-82	-119	-175	-162	71	-147	-31	
-259	-270	-388	-111	263	98	570	972	-7	-216	-1013	-581	-672	-273	
-398	-327	-402	-270	564	1306	2261	2517	363	-345	-1764	-2413	-1598	-1104	
-454	-718	-620	-536	1554	2255	3344	2795	912	-516	-2259	-3287	-2341	-1718	
-42	-407	-543	-595	1341	2712	3466	2674	705	-230	-2528	-3878	-2537	-1718	
-185	-393	-547	-229	793	2080	2663	1875	153	-303	-1835	-3230	-2453	-1634	
-145	-146	-437	-171	287	1113	1999	764	88	-189	-744	-1821	-560	-755	
-70	-91	-111	-152	-28	32	448	-21	-11	-102	-269	-412	-247	63	
251	-35	-7	-297	-351	-862	-434	-788	-7	24	336	382	134	1199	
192	25	157	-276	-538	-1225	-737	-1780	-204	-54	682	859	951	1350	
343	133	313	-138	-611	-1515	-896	-2182	-285	209	784	1740	901	1132	
152	157	402	16	-427	-1094	-1156	-1751	-319	345	495	1469	884	714	
201	230	173	-28	-289	-833	-1026	-2038	-285	313	375	1181	492	513	
335	178	91	-56	-186	-760	-535	-1478	-258	152	352	1147	365	355	
145	58	41	-187	16	-329	-417	-616	-149	96	240	119	309	126	
