-326	-180	-29	163	146	85	67	-247	-134	-273	-378	-365	-270	-289	-151	260	202	80	211	288	422	63	-27	-140	-232	-283	-296	
-151	-8	121	180	359	187	-163	-514	-436	-345	-467	-506	-697	-392	-268	317	243	619	378	552	453	198	31	-92	-212	-372	-415	
100	365	155	344	488	-86	-269	-1572	-704	-865	-984	-1297	-1107	-379	-206	529	486	826	1133	1313	893	420	221	-47	-370	-494	-525	
218	269	207	883	843	0	-360	-1677	-1391	-1192	-1236	-1651	-1723	-269	-274	554	642	1292	1304	1620	1334	817	371	7	-727	-911	-745	
153	286	372	1164	1458	-142	-342	-2142	-1779	-1058	-1176	-1253	-1283	-152	-274	440	590	1033	1322	1620	1198	1120	1032	118	-533	-911	-800	
139	347	337	958	861	-178	-974	-2322	-1466	-687	-230	-1077	-1137	-76	-180	334	275	363	329	801	1181	1305	1484	204	-437	-760	-486	
-37	179	250	639	582	-171	-1065	-1797	-689	-447	-14	-271	-1195	-131	-172	45	-136	0	-115	168	876	1136	1099	196	-344	-320	-399	
-131	156	86	353	197	-199	-1246	-837	-71	-356	75	-153	-380	-49	-67	-76	-279	-454	-544	-471	183	246	714	204	-47	148	-19	
-268	-144	8	146	-214	-560	-748	-127	353	92	1032	33	280	57	-199	0	-143	-427	-487	-971	-315	-81	268	385	351	304	287	
-369	-159	-130	-172	-1049	-298	-219	195	1035	1172	1428	617	355	-104	-199	40	-429	-1021	-1327	-1650	-1356	-601	-107	362	443	476	186	
-248	-303	-194	-236	-1414	-128	-22	1789	1654	1842	1482	1029	987	-83	0	40	-1090	-1793	-1484	-1920	-1300	-1261	-1146	78	583	937	385	
-210	-317	-737	-1176	-1749	-8	591	2192	1927	2277	1446	1619	1503	403	0	-437	-1765	-1521	-1669	-2089	-2159	-1387	-1760	-40	732	1085	240	
-174	-317	-1151	-2245	-1688	477	1475	3272	1963	2675	1752	290	2037	1182	16	-1271	-2369	-1622	-1910	-2415	-2709	-1444	-2011	-441	748	1988	628	
-424	-648	-1488	-2689	-2266	298	2028	4078	1599	2838	1860	1208	1983	1925	-14	-2065	-2513	-1536	-1996	-2642	-2709	-1710	-2234	-491	814	1840	1069	
-253	-288	-1488	-2536	-1931	358	1235	3694	1727	2349	1176	1566	1467	1271	139	-1690	-2441	-1479	-1683	-2019	-2469	-1598	-2318	-524	431	2644	442	
-210	-224	-1136	-2398	-1886	-71	499	2650	1781	1897	618	1762	969	634	65	-1055	-1967	-1250	-1057	-1962	-2033	-1724	-2137	-7	360	2431	450	
-217	-288	-660	-1191	-1323	-234	443	2137	1435	1679	1230	1440	489	510	24	-464	-601	-663	-957	-1226	-1286	-1275	-1495	141	720	1495	559	
-91	-188	-402	-687	-1156	-341	-36	1056	1035	1064	1284	1315	140	361	37	-110	-136	-420	-1114	-319	-1075	-939	-742	196	457	544	396	
0	-72	-130	-265	-395	-581	-240	33	816	1028	582	398	90	-124	-124	-65	-34	-339	-473	-236	-356	-421	55	639	368	-14	-302	
0	252	-108	-2	214	-266	-262	-897	16	418	-181	99	-214	-179	-165	8	259	-75	-34	-209	127	-167	463	429	-100	-422	-429	
26	180	190	152	445	-433	-748	-2247	-449	-731	-431	-63	-270	-231	-100	171	251	315	225	368	775	514	865	716	-284	-732	-636	
-123	252	354	490	1104	-312	-568	-2427	-1794	-1355	-807	-664	-442	-234	-172	187	259	895	1013	624	1181	968	1417	673	-754	-719	-800	
139	330	414	789	1253	-213	-613	-2142	-2093	-1385	-1443	-915	-1049	-523	-192	334	399	1464	1304	1381	1571	1355	1433	306	-1500	-1763	-1716	
0	-144	138	473	1569	51	-492	-1272	-2018	-1549	-1679	-1180	-844	-786	-124	366	146	895	1064	1926	1690	1641	731	31	-1362	-1268	-1661	
131	-17	17	358	824	247	-29	-987	-1227	-1132	-1472	-606	-428	-186	-48	537	555	1188	1013	870	1673	1406	150	-239	-809	-567	-322	
43	-72	34	396	522	341	101	-380	-1033	-482	-955	-284	-390	-289	-96	268	348	1085	321	376	661	1221	189	-193	-588	-257	-344	
-122	-155	-87	327	188	183	-50	-22	-337	-287	-807	-361	-375	-124	8	187	-41	508	241	296	502	412	-67	-319	-354	-320	-296	
