-127	-92	-153	-394	-282	-131	277	-23	
-69	-185	-319	-639	-296	442	472	-136	
100	-258	-664	-653	-420	171	603	-136	
-52	-614	-841	-595	-262	237	476	-41	
-280	-836	-1415	-1254	-282	335	519	332	
-314	-955	-1356	-1034	-289	417	396	208	
-273	-999	-547	-829	-379	-14	146	155	
-188	-265	-28	-49	-282	-296	-185	-89	
-14	233	1208	756	16	-978	-1170	-1148	
284	1320	2711	1592	403	-1747	-1935	-2541	
242	1446	2961	1894	534	-1979	-2340	-3231	
234	1194	2925	1574	567	-1268	-2080	-2412	
75	566	1082	720	263	-514	-852	-1033	
-63	100	265	-28	-28	16	-48	-136	
-231	-160	-91	-580	-97	98	717	32	
-93	-186	-767	-756	-42	286	916	312	
-63	-614	-915	-1107	16	106	1038	694	
-104	-272	-929	-756	-138	90	1195	365	
-70	-355	-812	-521	-76	16	529	186	
