-84	-36	106	1	-220	-178	-903	-792	-297	-230	-138	-54	165	511	360	257	435	161	-3	-134	-119	
-91	21	115	90	-452	-437	-989	-463	-914	-229	-134	134	260	1238	913	546	302	105	-120	-777	-319	
8	99	132	57	-318	-390	-1694	-1235	-986	-256	-148	69	110	1271	831	888	124	61	17	-298	-297	
179	232	258	246	-485	-217	-1837	-864	-729	144	-14	182	331	1504	979	1167	824	-98	-178	-407	-341	
250	356	305	148	-673	-665	-1521	-263	-132	344	239	198	94	972	368	773	536	0	-148	-493	-459	
258	207	173	-227	-775	-1257	-1392	-68	56	384	550	277	205	243	-225	343	108	85	-134	-355	-400	
96	41	99	-434	-1210	-867	-279	492	345	512	605	365	205	-133	-616	-27	-414	-213	-104	-79	-126	
25	-312	-111	-172	-144	171	470	877	1116	1006	673	-54	-173	-538	-1127	-218	-505	-419	429	271	691	
-181	-856	-829	-255	147	689	2153	1171	1167	921	398	-101	-300	-1149	-1818	-1007	-1716	-1724	683	481	729	
-230	-1268	-1283	-407	409	1248	2795	1240	670	852	487	-201	-167	-1482	-2577	-2216	-2919	-1792	753	1259	1391	
-570	-1665	-1444	-337	445	1789	2465	1602	550	520	318	-408	-449	-1038	-2481	-2642	-2700	-2323	455	1788	1485	
-437	-1224	-1737	-145	1131	2785	3125	1551	1030	529	-47	-421	-783	-705	-1721	-2367	-2058	-2540	727	2336	1145	
-272	-664	-1386	-303	1183	2960	2934	1119	824	352	-54	-182	-393	-816	-1528	-2038	-2236	-2282	570	1826	1485	
-202	-374	-961	-434	499	1964	1858	1188	996	406	151	-307	-320	-1079	-1597	-1818	-1935	-1139	381	937	1409	
-174	-326	-492	-179	0	1213	642	1395	756	128	0	-201	-267	-649	-1238	-938	-1415	-569	229	616	122	
41	8	24	49	-90	374	-55	739	418	-283	-309	-227	-114	-160	-93	-540	101	-334	35	367	-355	
283	473	99	-10	-311	-260	-1191	-7	-88	-350	-416	-276	-60	-80	195	-7	110	147	-23	-74	-238	
441	452	380	123	-876	-1141	-1837	-515	-487	-433	-409	-401	7	328	1095	691	202	114	-37	-444	-217	
241	322	371	230	-452	-1358	-2125	-1235	-1128	-773	-384	-321	205	291	1145	1167	209	145	-282	-824	-333	
200	224	132	76	-309	-751	-1435	-637	-758	-603	-403	-127	205	590	1640	1495	458	363	-104	-311	-317	
58	144	175	1	-261	-383	-961	-749	-324	-475	-275	-21	181	706	1244	1085	575	-177	-185	-215	-120	
-84	100	173	16	-220	-389	-442	-440	-243	-357	-201	158	149	-27	501	954	38	-183	-348	-210	-111	
20	31	33	32	16	-417	-366	-326	-54	-191	-67	79	141	157	375	642	15	-222	-266	-267	-52	
