-113	-84	-32	-107	-152	-365	-572	-301	-368	129	0	192	216	214	110	-60	
-190	-119	-21	-56	-7	-307	-456	-407	-601	-211	-216	280	326	134	118	-52	
-43	8	75	-49	-106	-399	-340	-267	-1162	-156	14	560	826	508	324	-87	
58	201	85	10	-125	-427	-818	-737	-1478	-319	-129	1091	1554	1103	681	-226	
58	309	266	73	24	-319	-1196	-795	-1363	-346	-88	767	1351	833	1149	-100	
58	185	91	-7	-124	-282	-1355	-823	-1334	-122	-61	464	893	309	831	164	
117	284	-49	-146	-228	-95	-131	105	-458	-149	104	136	47	-74	71	47	
16	12	-230	-305	-249	263	401	1422	454	93	-115	-323	-765	-574	-127	-14	
-211	-21	-526	-782	-145	1341	1587	2348	1719	185	-223	-1566	-1920	-1444	-769	-186	
-436	-301	-614	-1400	-325	1660	1798	3658	2604	274	-345	-2274	-2991	-1724	-1704	-305	
-358	-335	-289	-1724	-390	581	2853	3641	2726	484	-264	-2727	-3413	-1752	-2206	-73	
-298	-308	-363	-1445	-536	1006	2519	3204	2222	15	-345	-2543	-3033	-2425	-1830	47	
-183	-266	-348	-1106	-477	564	1306	1510	1424	145	-27	-1070	-1920	-883	-797	125	
62	-133	-209	-222	-199	90	57	228	48	84	88	-249	-483	-274	-147	283	
286	-70	-133	-201	-108	-179	-302	-232	-702	56	329	16	95	436	252	314	
58	83	-21	141	-90	-450	-1123	-838	-1708	-177	329	344	961	1322	418	362	
-15	108	233	174	57	-248	-1819	-2036	-2297	-475	217	1023	2147	1726	764	-153	
-43	134	199	265	-49	-124	-1631	-1603	-1880	-515	96	426	1977	1338	413	-126	
-85	89	166	139	-97	-282	-673	-389	-1607	-835	257	443	1114	428	363	188	
87	75	83	65	-159	-248	-340	-192	-1033	-326	176	240	673	301	223	70	
218	41	-195	-78	-228	-296	-358	-376	-558	-116	225	268	271	214	158	-166	
