9	63	45	-20	-126	-177	-192	-411	-496	-718	-422	-287	-407	-135	-64	42	219	100	209	200	292	74	139	0	-35	-123	-169	-51	32	
-23	1	43	143	-163	-353	-284	-474	-537	-625	-447	-614	-407	-218	-107	33	363	126	720	398	497	289	211	122	-35	-198	-116	-82	16	
-6	-7	-15	36	-118	-201	-117	-568	-392	-672	-447	-951	-386	-221	-8	-163	633	252	991	175	680	560	296	0	-192	-211	-201	-176	200	
-45	-8	-23	-27	-63	-98	-74	-724	-853	-1353	-951	-1212	-507	-228	-101	54	671	269	1625	276	1566	827	419	-226	-287	-504	-298	-149	6	
-128	-8	-23	-18	-34	-52	-373	-1036	-1849	-2127	-1815	-1442	-825	-349	-168	-191	467	445	1353	906	2210	1307	608	327	122	-242	-82	-7	144	
-30	-68	-23	-126	0	-235	-329	-1536	-1475	-1926	-1476	-1581	-279	-487	-29	-205	272	412	1281	1104	2371	2268	1023	849	146	-152	-143	13	232	
-113	-202	-112	-178	-166	-485	-1459	-2099	-744	-1074	-209	-667	-79	-593	-269	-86	95	-141	418	564	1208	1841	1518	972	391	-24	-109	-27	74	
-135	-146	-45	-178	0	-1124	-1553	-2349	-526	-548	86	-287	-181	-578	-318	-283	-61	-8	318	133	349	1699	1306	1412	1003	333	8	51	61	
-147	-202	-185	-215	-273	-2054	-1223	-1505	-109	-333	599	-208	-260	-456	-142	-255	-100	-148	71	-202	207	667	1607	2027	2488	347	298	112	104	
-233	-276	-275	-821	-892	-2227	-1506	-1099	359	-80	633	-122	-193	-292	-228	-156	-208	-85	-67	-260	-76	-35	723	1763	2540	1233	581	225	-21	
-315	-470	-565	-1187	-1541	-2495	-878	-445	1499	340	841	224	111	-114	-192	-205	-230	-301	-354	-585	-215	-283	-42	990	2453	1545	946	209	132	
-427	-432	-1048	-1569	-1699	-2464	-234	-102	1959	183	528	363	215	119	-128	-367	-204	-540	-461	-1324	-561	-492	-372	343	1964	2083	1844	241	240	
-225	-753	-1463	-2189	-2158	-1045	-37	141	2246	262	727	423	621	317	11	-432	-882	-1346	-1132	-1487	-841	-1312	-427	106	1842	3004	1274	601	280	
-113	-1090	-1128	-2809	-2982	-1171	132	713	3243	288	685	772	1858	1327	290	-884	-1887	-1779	-1563	-1280	-1342	-1635	-553	8	2016	3299	2137	876	818	
-248	-1106	-1575	-2936	-3758	-1281	301	771	2898	536	955	458	2401	2017	110	-1185	-2667	-1734	-1801	-1398	-1224	-1825	-946	-688	2366	3368	2914	1133	887	
-442	-1314	-1511	-3143	-3425	-1534	514	1079	2860	541	1087	1092	2738	1830	247	-360	-2727	-1779	-1771	-1162	-1150	-2059	-553	321	2488	2865	2603	910	750	
-322	-1058	-537	-2825	-3489	-2101	-96	675	1729	506	582	285	1614	1420	85	-135	-912	-1301	-1207	-659	-1047	-1649	-330	40	3047	3125	2672	1201	563	
-367	-1106	-808	-2618	-3299	-2353	531	251	982	515	530	328	696	489	-57	-198	-1122	-406	-503	-762	-1283	-1312	-104	163	3064	3021	2258	378	384	
-570	-1282	-1048	-2221	-2887	-2511	-501	52	605	541	404	311	415	51	-149	-170	-387	-332	-384	-1014	-709	-961	98	726	2348	1840	1085	249	48	
-240	-945	-372	-1441	-1573	-2795	-1521	-328	-15	314	235	173	223	-157	-146	-153	-211	-148	-419	-600	-250	-394	864	1218	2174	677	273	193	-101	
-205	-209	9	-598	-457	-2101	-1788	-1068	-962	-145	-468	77	-222	-426	-15	-85	-134	-92	-196	-98	174	173	1677	2044	1964	278	210	112	-28	
-112	-142	-42	-222	0	-1676	-1930	-1943	-1164	-1043	-566	-65	-415	-958	-323	-205	321	-8	494	408	939	649	1837	2062	1178	32	-258	-223	-108	
-143	-80	-35	-15	-189	-1203	-2165	-2271	-1958	-1926	-659	-276	-365	-1323	-114	-92	414	84	901	575	2442	1272	1890	1412	480	-645	-664	-189	-112	
-203	-101	0	98	465	-493	-1631	-2052	-2253	-2112	-1044	-353	-486	-1217	-241	-43	983	344	1897	960	2442	1325	2049	656	138	-1104	-907	-345	-115	
-150	-120	207	476	465	44	-454	-1427	-2082	-1833	-1244	-1105	-629	-1232	-402	-135	744	598	2041	1338	2013	1485	1624	498	48	-702	-553	-270	-169	
-152	-62	144	280	232	157	-198	-896	-1755	-1616	-1291	-1412	-565	-1277	0	127	481	252	1879	1644	2049	738	1235	8	-55	-630	-332	-129	-119	
-143	-120	225	269	17	36	141	-226	-931	-1121	-260	-696	-93	-821	-22	-64	249	374	737	654	689	133	477	-233	-396	-371	-271	32	-61	
-45	-49	180	260	-82	117	310	-505	-635	-22	-274	-445	-172	-548	-227	-22	191	260	443	317	98	41	394	-85	-273	-184	-210	-109	-94	
