-200	-328	-244	-181	-131	-230	-385	-269	-200	-281	-732	-185	-182	-170	-222	0	269	121	147	217	236	174	-74	-45	-52	
-146	-237	-156	-121	-333	-344	-422	-267	-131	-399	-1141	-52	-133	-111	-52	296	304	313	321	420	182	286	-258	-131	-81	
-253	-208	-172	-181	-230	-390	-502	-392	-462	-1535	-1566	122	-266	174	115	331	191	936	340	963	-185	321	-7	-140	8	
-139	-319	-216	-198	-282	-563	-817	-1466	-1391	-1803	-1613	-340	-377	-38	8	479	752	1781	903	1282	-222	512	52	7	31	
-73	-328	-225	-330	-603	-1430	-1179	-2317	-2415	-2055	-1802	-531	-717	43	191	391	790	2120	1804	2239	243	1178	130	22	26	
-73	-309	-169	-292	-840	-1619	-2755	-3057	-3250	-2653	-1566	-436	-984	8	95	487	565	3209	2311	3477	376	2059	277	215	121	
-270	-304	-302	-517	-1423	-2455	-4441	-4191	-3187	-1960	-1330	-74	-322	261	-133	339	322	3753	2968	3871	1932	3784	1201	442	442	
-224	-196	-216	-200	-2322	-3306	-5764	-3924	-2147	-1236	-543	453	59	305	-266	296	-237	2270	1767	4378	3245	4984	1782	999	286	
7	-112	-314	-734	-3331	-5386	-5733	-3530	-1076	-318	-170	514	196	104	-379	-178	-347	561	847	3590	3789	6352	2850	1505	726	
-33	-290	-647	-1491	-4040	-6568	-5244	-2128	-635	200	209	1774	-111	-164	-898	-458	-1235	156	86	3177	4295	7476	3300	2834	1250	
-70	-368	-748	-1712	-4544	-7199	-5591	-899	-207	865	1002	2659	409	252	-1716	-1346	-2335	-377	-650	2033	3114	7645	5342	3303	1906	
-197	-319	-262	-2374	-5096	-7340	-4882	-962	0	1487	1153	3243	1350	313	-1779	-3342	-3074	-732	-1043	1019	2926	8039	5997	4576	2205	
-195	-446	-686	-2879	-5585	-7955	-3921	-200	122	733	1718	4204	1463	-126	-1826	-3845	-4064	-1141	-1279	486	2607	7045	6147	3977	2130	
-106	-368	-1507	-2595	-6247	-7656	-4346	-171	-97	733	1228	3752	1896	-30	-2408	-4144	-3357	-1078	-1232	17	2476	7476	5866	3115	1906	
-289	-855	-1003	-1617	-5538	-7104	-4772	-489	-289	602	602	3130	954	104	-2125	-3326	-2948	-339	-605	330	2776	6483	5117	3415	1400	
-400	-579	-719	-1239	-4655	-5985	-4898	-883	-1092	96	174	2151	567	-156	-1653	-2037	-1675	-261	-67	1057	4483	6802	4630	3471	1737	
-165	-341	-758	-529	-2952	-4425	-5024	-1718	-1911	-111	-480	593	209	-82	-929	-1078	-1172	113	-458	2070	4464	6164	4068	1898	659	
-234	-568	-634	-378	-1707	-3700	-5528	-3215	-2840	-244	-1487	226	-237	-111	-426	-126	-310	767	226	3815	4427	5077	2438	1374	277	
-99	-347	-151	-45	-1376	-2344	-4866	-3782	-3612	-1047	-2794	-133	-622	-222	-200	-15	557	1763	1373	4603	3508	3484	1445	1449	34	
-224	-233	-164	-15	-714	-1588	-3716	-3356	-3832	-2196	-3187	-318	-1220	-96	-1	217	1710	2645	2593	4078	2776	2322	808	503	164	
-190	-197	-134	122	-319	-1446	-2597	-2648	-3029	-2763	-2951	-1475	-1031	-414	78	888	1748	2232	3175	2746	2176	538	121	86	91	
-198	-237	-5	4	-237	-815	-2125	-2285	-2210	-1771	-2999	-1680	-890	-355	-237	505	1240	1800	2424	1357	1107	347	67	87	74	
-191	-118	116	137	-134	-75	-296	-1403	-1328	-417	-1881	-578	-717	-23	-52	139	339	2439	1335	776	486	199	-163	8	-37	
-145	-84	61	91	105	-97	-111	-548	-1045	-464	-1062	-281	-274	61	60	139	174	1594	415	565	321	-30	-207	-157	-89	
