-204	-92	-147	-195	-723	-228	-124	-7	513	64	8	
-48	176	-142	-629	-1180	-401	-62	204	570	434	113	
49	126	33	-674	-1209	-1107	-62	352	706	885	517	
43	92	-419	-614	-1459	-1078	-117	384	1230	538	469	
42	-12	-308	-411	-1135	-785	-482	302	968	300	178	
-303	-95	-122	-133	-326	-35	-330	-165	-164	-96	105	
-366	-148	50	391	886	382	-200	-891	-1141	-1076	-197	
-338	-120	175	1716	2567	1361	-220	-1515	-2036	-2311	-921	
-278	-271	-28	1896	2872	1805	-14	-2168	-2672	-2742	-663	
-303	-630	-56	1356	2192	1645	279	-1558	-2426	-2110	-373	
-402	-450	25	475	921	1379	263	-644	-1112	-716	-393	
-324	-480	-356	50	165	371	189	81	-219	-143	-34	
-176	-465	-412	-348	-319	-325	41	294	108	-82	234	
