-8	-36	-210	-133	-201	-668	-392	-439	-178	-334	-190	84	104	263	134	-20	189	134	148	-157	
44	8	-226	-251	-354	-609	-399	-905	-419	-442	-116	23	288	295	357	216	472	101	-60	-126	
-50	-204	-256	-313	-423	-1049	-1121	-1645	-253	-1033	-21	62	200	859	1254	55	556	70	-20	-37	
-29	-104	-280	-437	-679	-1268	-1938	-1950	-417	-975	-229	48	273	1825	2399	965	806	227	133	102	
-60	-140	-231	-777	-1768	-2045	-2579	-3024	-1372	-1650	32	233	1637	2486	3577	2136	1205	485	7	134	
-92	-162	-308	-1280	-1989	-3568	-3672	-3851	-1618	-1708	24	329	2216	2808	4840	3274	1903	946	109	129	
-254	-302	-538	-1295	-2961	-4711	-4722	-3575	-1040	-1607	137	193	1790	2841	5783	4210	3083	1524	304	202	
-401	-495	-1237	-1990	-3667	-5927	-5641	-3343	-506	-918	24	-95	597	2147	6540	4980	4313	2202	421	186	
-366	-260	-1608	-2271	-4271	-7113	-6574	-3488	48	24	-70	-358	224	910	6557	5448	5393	3077	437	319	
-345	-316	-1162	-2359	-4315	-8021	-7201	-3096	415	573	32	-1014	-433	673	6170	5800	5792	3672	724	277	
-317	-323	-910	-2522	-4933	-8402	-7011	-2472	-199	229	-28	-2181	-444	758	5766	6418	6341	3804	1200	480	
-268	-260	-1088	-2862	-4742	-8226	-6063	-2864	549	237	-89	-1782	-276	995	5614	6686	5327	3341	1331	248	
-231	-302	-1237	-2226	-4727	-7362	-5305	-3662	97	-41	-61	-914	104	1706	5379	5666	4595	2978	905	353	
-218	-302	-969	-2034	-4020	-6176	-4912	-4402	-232	-436	-177	-210	552	2333	5345	4963	3914	2400	560	168	
-176	-232	-482	-1309	-2195	-3905	-3512	-3560	-151	-1191	-75	96	1279	2045	4301	3675	2834	1062	171	160	
-92	-331	-161	-1029	-1415	-2865	-3104	-3125	-607	-1521	-55	136	1279	1690	3106	2688	1969	391	117	193	
-312	-291	-147	-333	-554	-2235	-1661	-2371	-1286	-1104	-14	217	1006	1266	2214	1484	839	-258	93	82	
-247	-205	-84	-174	-650	-1312	-800	-1950	-694	-817	8	152	546	673	1524	781	314	-350	-7	46	
-191	-197	-90	-244	-236	-785	-337	-934	-246	-946	-149	128	232	231	301	31	16	-547	-178	-73	
-204	-57	-125	-117	91	-408	-342	-311	-239	-788	64	128	232	223	190	112	-148	-283	-132	-119	
-85	8	-91	-188	-73	-138	-310	-165	-448	-645	-133	-18	24	131	190	-40	-87	-127	-175	-111	
