-57	-45	-70	-200	-195	24	-28	-62	-645	-109	64	162	151	150	90	
-113	-63	-153	-201	-140	-100	-206	-321	-320	56	64	200	223	176	94	
-50	-28	16	-187	-124	-235	-528	-451	-368	-159	24	200	207	238	213	
6	-21	66	-77	-90	-186	-543	-419	-381	-346	72	376	446	452	150	
117	121	55	33	16	-275	-673	-1257	-388	-387	-61	337	538	531	252	
101	16	125	15	-21	-351	-1471	-1358	-515	-381	-27	495	572	884	764	
48	-28	-126	-77	-49	-159	-1312	-881	-340	-264	-61	432	159	285	276	
11	-49	-86	-133	-132	156	-322	97	-143	-110	16	24	-208	-147	-54	
-98	-133	-119	-236	-125	312	425	1160	607	-48	-264	-357	-1046	-406	-630	
-276	-405	-319	-767	-228	1094	1271	2278	1875	315	-385	-2033	-2498	-1191	-895	
-344	-684	-748	-1165	-829	1943	1834	2890	2552	360	-857	-2996	-3160	-2018	-1983	
-281	-266	-674	-1342	-214	776	2730	3414	2865	584	-786	-2939	-3244	-2201	-2123	
-218	-259	-496	-1297	-318	254	2185	3117	2448	118	-815	-2571	-2681	-2341	-2067	
-169	-214	-216	-430	-387	-76	1095	1580	1215	49	-311	-1410	-1455	-1458	-993	
58	-210	-167	-274	-221	-248	98	138	73	27	-68	-182	-242	-247	-87	
64	92	-28	-277	-304	-413	-543	-205	-831	56	152	160	63	190	608	
33	293	275	215	-228	-427	-1094	-867	-1837	-149	136	352	216	1086	998	
133	286	244	224	8	-372	-1616	-2094	-2196	-285	329	529	1046	1490	881	
188	224	191	248	-97	-310	-1384	-1632	-1895	-89	166	232	1164	1456	848	
143	234	108	112	-145	-344	-557	-737	-1449	-89	193	264	1063	1456	434	
135	142	145	136	82	-145	-456	-219	-731	-122	-41	199	310	1103	245	
84	142	91	78	-69	-49	-391	-308	-443	64	56	264	143	665	213	
