435	80	-42	-64	-126	-267	-212	-218	48	32	198	366	317	-20	-100	-218	-298	
130	-49	91	-4	-117	-267	-387	-297	48	56	280	328	269	142	-87	-118	-206	
134	62	141	74	-234	-688	-151	-273	-55	-27	480	398	134	118	-73	-100	-189	
-15	25	257	140	-179	-1094	-751	-587	-224	160	520	408	333	292	-213	-324	-297	
-196	-28	298	59	-317	-1384	-953	-470	-447	273	1193	382	349	395	-100	-271	-255	
-131	58	190	115	-330	-1108	-437	-1090	-393	8	1296	470	388	814	157	-177	-191	
-68	-14	-14	16	-248	-1021	-219	-932	-149	-102	1193	538	460	407	133	-291	-283	
-17	16	-264	-90	82	-288	114	-150	-114	-54	200	-101	214	221	21	-111	-139	
25	25	-723	-228	394	237	709	365	-102	-291	-478	-948	-214	-207	-77	-34	273	
-273	-216	-767	-276	440	1500	2191	2083	339	-270	-1481	-2131	-869	-1258	-87	344	429	
-587	-718	-885	-373	1501	2009	3222	3229	895	-318	-2344	-2850	-2131	-1983	-153	930	937	
-475	-792	-826	-242	952	2097	3693	3247	1067	-203	-3859	-3146	-2635	-2053	-73	1194	1069	
-373	-496	-679	-380	440	1746	2960	2413	481	-274	-3293	-2920	-2818	-1718	314	946	921	
-308	-437	-229	-297	41	1218	1824	851	66	-122	-1650	-1765	-1219	-769	275	814	554	
-21	-167	-28	-242	-220	49	383	-109	-38	-27	-291	-483	-374	71	236	117	218	
142	-63	190	-290	-380	-281	-342	-1047	-82	16	88	191	452	505	275	-185	-20	
251	-35	240	-249	-727	-775	-751	-2038	-238	297	480	436	1271	1132	31	-298	-290	
166	183	367	-152	-468	-1196	-1286	-2254	-387	426	546	1300	1574	1166	-160	-292	-132	
148	166	238	-42	-771	-862	-997	-1809	-285	136	784	1435	1237	848	165	-145	-223	
134	211	464	0	-727	-789	-578	-1521	-116	257	648	1181	800	612	322	-99	-244	
-56	83	190	-83	-413	-688	-110	-731	-95	249	580	1147	119	480	157	-326	-310	
-28	8	30	-35	-214	-199	-89	-245	-75	128	440	127	-7	110	165	-189	-224	
