134	115	26	-242	-266	-247	-69	-48	121	8	-30	63	15	94	37	-383	-274	-704	-268	
-182	-24	3	-28	-182	-217	-151	-138	137	56	78	87	23	7	-167	-257	-349	-745	-445	
-146	-50	41	33	-127	-288	-314	-487	-85	-14	200	207	79	-27	-219	-205	-119	-344	-223	
-13	56	7	24	-69	-369	-369	-760	-261	-81	488	382	303	245	-138	-225	-206	-289	-85	
142	108	95	33	-193	-847	-982	-1291	-116	-135	1262	707	508	347	-352	-437	-300	-263	-39	
127	125	77	-35	-337	-717	-809	-946	-420	-196	1534	1368	985	781	-193	-323	-291	-268	-85	
68	8	-35	-49	-186	-363	-253	-439	-520	-250	1875	673	404	442	-305	-223	-158	-120	-92	
16	-28	-174	-111	328	-295	16	-34	-244	-54	360	-47	-147	165	-266	-106	-14	38	8	
-287	-237	-635	-125	342	425	1090	527	-170	-270	-505	-835	-322	-320	-60	47	109	108	37	
-475	-777	-753	-214	740	1974	2156	1545	282	-311	-1622	-1835	-1345	-1286	-93	101	241	208	86	
-656	-688	-1459	-595	1430	2537	3204	2604	1085	-687	-2429	-2836	-2271	-1788	-126	814	724	398	16	
-426	-1073	-1356	-207	1359	2537	3309	3334	1568	-687	-2854	-3723	-2116	-1620	149	1607	1020	512	153	
-168	-304	-1062	-318	758	2009	2401	2691	774	-374	-2217	-3258	-2102	-1509	393	864	1036	217	100	
-118	-146	-388	-159	0	1359	1719	1163	105	-41	-1452	-1582	-1177	-1341	393	633	937	300	33	
-28	-79	-84	-249	-93	286	758	64	-7	-88	-518	-553	-234	-351	72	293	405	15	30	
301	-56	-42	-256	-406	-309	-328	-788	-196	-61	16	191	285	403	275	62	117	-92	-89	
96	33	248	-235	-800	-963	-1257	-1765	72	-48	408	1046	1254	781	-87	-152	-323	-233	-131	
30	91	62	-207	-655	-1326	-1401	-2383	-285	225	818	1520	1574	1015	-285	-288	-343	-225	-46	
-49	30	116	-56	-220	-920	-939	-2469	-251	273	784	1351	1254	848	31	-180	-293	-277	-236	
92	-35	381	206	-69	-586	-369	-1435	-89	361	375	724	1338	442	102	-86	-369	-373	-305	
184	-195	135	181	57	-557	-116	-760	0	152	352	430	87	308	31	-185	-323	-431	-295	
8	-39	174	16	-76	-206	-141	-314	-177	56	208	295	-47	213	-47	-182	-275	-299	-249	
