-45	-150	-189	-153	-43	-21	-148	-154	-195	-381	-331	-227	-557	-257	-130	-95	88	280	826	206	316	55	39	156	-235	-133	-56	-67	
-75	-100	-171	-126	-36	-18	-71	-300	-481	-900	-1005	-269	-862	-442	-368	-129	209	1228	1368	428	1116	291	282	187	-104	-187	-84	-37	
53	206	-36	14	220	59	-8	-449	-1221	-1312	-1781	-1019	-1167	-280	-300	-75	104	1466	1198	817	2220	839	600	273	-180	-249	-53	-66	
-22	11	32	183	416	33	-15	-627	-1768	-2313	-2631	-990	-1210	-437	-265	-97	-48	1620	961	665	2655	1105	1359	462	23	-117	-52	-15	
20	17	154	273	416	-50	-465	-865	-2300	-1930	-2074	-348	-1036	-451	-443	0	128	1466	271	1069	2537	1936	1673	1216	186	57	-8	131	
-36	-58	25	127	93	-338	-764	-954	-2330	-1548	-1737	-248	-833	-48	-400	32	144	750	223	833	1082	1969	2020	1791	528	169	125	262	
51	-58	-228	-426	-57	-777	-1406	-1593	-1724	-679	-1298	-69	-206	114	-408	-14	104	248	-21	357	284	806	1574	1856	419	386	234	165	
35	-65	-299	-426	-226	-1617	-1675	-1653	-674	-243	-829	180	-69	-198	-319	-95	-14	-101	-295	-274	31	220	979	2037	551	431	262	122	
77	-165	-299	-489	-1321	-2412	-1928	-503	0	74	148	316	262	40	-87	-114	-189	-404	-877	-374	-393	31	117	1052	1607	526	506	367	
129	-365	-958	-943	-2059	-2577	-1675	25	375	653	305	899	229	171	-75	-82	-402	-843	-1187	-1023	-1439	-427	-245	413	1101	2437	872	370	
-5	-322	-1080	-1836	-3219	-2232	-1600	720	1284	1208	809	1129	1060	566	-96	-644	-900	-872	-1525	-742	-1411	-1288	-658	-145	295	4057	891	542	
-140	-400	-1430	-2699	-3310	-1917	-973	1245	906	1888	1005	1607	1254	1090	267	-502	-1683	-1127	-1399	-161	-1495	-1648	-1265	-691	209	4591	1231	516	
-115	-1054	-1338	-2699	-3611	-2277	-274	2458	1500	1637	649	2208	1341	1911	1042	-190	-2309	-1707	-2089	-406	-1774	-1524	-1624	-705	505	3652	1326	720	
-409	-643	-1414	-2684	-3777	-2307	-227	3327	1266	1673	667	1960	1201	2226	798	-14	-2309	-2047	-2019	-546	-1397	-1746	-1652	-870	629	2680	1515	683	
-466	-357	-1141	-2896	-3114	-2262	-421	2910	1194	2156	756	1112	867	1649	781	-95	-1797	-1905	-1370	-368	-1341	-1968	-1265	-481	442	2647	981	324	
-506	-473	-242	-2956	-3204	-2217	-450	1897	582	2031	667	687	1025	689	348	-14	-1057	-1636	-1089	-287	-1551	-1107	-1113	-112	520	2064	1383	394	
-299	-86	-350	-2078	-2903	-2442	-704	335	116	1709	543	387	638	179	259	121	-331	-659	-610	-301	-616	-274	-644	-93	431	655	587	391	
-190	-86	-395	-1276	-2044	-2142	-1062	-105	16	1279	276	194	106	171	24	-95	-223	-256	-356	-394	-328	-133	78	210	458	634	341	325	
-150	-108	-143	-284	-1306	-1872	-824	-865	-98	605	214	8	16	24	-285	-190	-14	120	55	-239	-167	291	321	658	559	518	282	150	
-130	-155	-79	-29	-410	-1137	-1331	-1638	-1339	-257	-304	-90	-302	-226	-300	-82	42	216	207	-57	-60	1088	1112	1200	419	216	119	210	
60	-62	42	162	-15	-366	-1391	-2693	-1886	-370	-1005	-379	-425	-335	-327	-73	48	320	207	215	497	2368	1855	1938	652	192	97	83	
60	-3	8	332	212	-352	-1271	-2693	-2359	-1842	-1884	-757	-876	-362	-659	72	265	480	622	214	1684	2800	1657	2086	279	-47	-3	-128	
-94	-15	68	503	322	169	-1167	-2009	-2167	-2019	-1986	-1238	-1442	-594	-961	-7	297	608	1351	1086	1801	2235	1822	1463	-243	-308	-15	-60	
-158	-93	162	383	407	72	-533	-1445	-1472	-2166	-2147	-1209	-1457	-464	-903	-102	249	560	1181	1069	1417	1969	1409	970	50	-386	-107	-111	
-180	-15	248	85	281	245	-295	-791	-1354	-797	-1430	-378	-1094	-722	-327	-14	193	584	1266	579	1015	1587	567	218	-138	-151	-114	-215	
-87	-58	6	-248	77	312	-190	-259	-866	-370	-1078	-392	-1065	-485	-130	8	40	1040	1080	317	814	806	78	7	-250	-164	-99	-18	
-72	275	85	-80	-36	109	-50	-105	-320	-243	-609	-324	-615	-342	-327	137	160	614	534	295	205	181	-73	-79	-427	-458	-100	-178	
