102	42	8	99	251	-237	-160	-152	-131	-96	611	-123	-118	
-93	8	109	159	17	-467	-409	-283	-234	114	774	73	-51	
-59	59	96	25	-241	-836	-826	-546	-324	253	1335	381	-48	
-71	75	194	25	-168	-777	-929	-1107	-296	384	1178	833	153	
-58	118	117	92	-301	-940	-1165	-624	-351	278	706	798	420	
-135	0	67	40	-7	-348	-347	-283	-235	-124	65	0	-210	
-305	-240	-401	8	251	141	506	363	-179	-1007	-1098	-1061	-488	
-314	-466	-379	-197	276	1482	2299	1610	254	-1747	-1733	-2053	-649	
-397	-346	-307	-204	1100	1788	2907	2054	559	-2066	-2123	-2742	-520	
-176	-71	-296	-239	410	1644	2389	1183	378	-1558	-2239	-2196	-692	
-109	-64	-268	-183	134	834	1047	495	263	-775	-925	-1521	-339	
-22	-34	-64	-127	-189	150	174	-28	189	-96	-198	-225	-75	
-52	16	42	-50	-210	-77	-451	-888	-195	139	114	-109	40	
-135	-135	59	-129	-186	-53	-1077	-1166	-220	147	164	51	2	
-29	-226	-99	0	-137	-53	-753	-1049	-310	245	601	64	-34	
127	-89	0	-95	-154	-195	-388	-653	-420	32	323	146	46	
-57	13	-33	-71	-189	-260	-305	-448	-310	-62	108	78	-5	
-142	-12	7	-50	-154	-348	-314	-263	-131	-261	-5	16	0	
-22	152	126	8	16	-209	-340	-359	-226	-295	-67	-7	-34	
-78	39	42	-43	-49	-153	-208	-359	-117	-147	40	-28	-122	
