13	-14	207	-145	-165	-315	-260	-306	-292	16	133	358	127	-14	
-47	39	224	-125	-240	-350	-301	-472	-156	8	128	470	299	118	
-42	-7	63	-104	-317	-398	-376	-573	-492	32	392	504	484	86	
3	-7	141	-104	-165	-601	-471	-831	-508	-135	592	673	547	181	
75	114	70	-90	-62	-963	-396	-1205	-393	-142	1040	961	850	403	
72	90	-11	-15	41	-412	-273	-449	-285	-196	955	406	47	300	
8	58	-70	0	246	-117	130	-198	-217	-246	24	39	-321	94	
0	8	-423	-270	435	245	1370	430	0	-431	-645	-483	-742	-233	
-273	-230	-513	-228	687	1693	2698	1962	371	-900	-1934	-2089	-1626	-1216	
-323	-348	-1180	-304	1076	2132	3589	2778	515	-971	-3251	-2723	-2411	-1634	
-305	-260	-1709	-287	952	2607	3938	2795	877	-786	-3378	-3160	-2593	-1746	
-223	-289	-959	-290	899	2519	2942	2083	256	-701	-2953	-2695	-2663	-1579	
-172	-258	-826	-565	970	1183	1859	1215	895	-331	-1835	-1821	-1542	-755	
-112	-209	-167	-221	419	65	366	194	234	-88	-489	-624	-461	15	
184	141	-91	-152	-378	-833	-722	-286	-285	16	168	0	452	450	
200	241	99	-297	-553	-1457	-1199	-1593	-305	72	767	334	1204	697	
242	243	340	-180	-399	-1297	-1156	-2038	-373	201	1125	1571	1221	982	
124	150	474	99	-406	-1297	-1170	-1650	-292	265	801	1673	850	714	
39	16	249	33	-241	-804	-910	-1449	-292	313	733	961	484	292	
-30	90	150	98	-97	-673	-636	-1162	-217	8	428	510	277	126	
-53	-98	165	61	-42	-329	-267	-774	-61	88	220	207	119	-127	
