0	4	-126	-105	-56	-56	-344	-261	-151	-300	-129	40	152	374	142	79	-64	
-141	92	-245	-160	-38	-42	-351	-231	-205	-587	48	88	264	454	255	158	-107	
-92	151	-63	25	107	123	-310	-107	-321	-745	-346	241	488	961	269	205	47	
-240	-39	8	291	188	-46	-494	-702	-823	-1148	-156	225	699	1283	293	458	149	
-81	-48	51	170	99	0	-582	-1254	-1358	-1392	-48	-34	835	944	333	377	70	
-25	-26	45	46	-21	-132	-179	-1283	-766	-1162	113	141	614	724	-87	131	39	
-218	75	47	-7	-139	-138	304	-110	-130	-143	-8	-129	352	31	-121	-33	-40	
-100	-13	-142	-251	-291	-69	411	499	701	816	129	-587	-330	-483	-294	-280	94	
-197	-99	-349	-320	-554	-201	899	1482	1772	2031	355	-644	-1693	-1328	-1163	-700	-232	
-345	-585	-677	-570	-959	-609	1147	1992	2942	2656	428	-616	-3038	-2540	-1948	-1230	-199	
-345	-260	-761	-688	-650	-448	1218	2730	3606	3368	808	-243	-3066	-3639	-2607	-2053	70	
-169	-190	-552	-585	-871	-401	864	2519	3169	3021	567	-250	-3336	-3667	-2677	-1648	165	
-57	-281	-475	-496	-319	-387	8	2027	1754	1076	-141	-142	-1806	-2512	-1542	-937	78	
169	-92	-154	-362	-118	-145	-413	131	472	-170	210	-176	-645	-891	-468	-140	283	
270	-113	309	91	-118	-276	-421	-543	48	-817	210	201	-101	-47	246	418	330	
43	158	237	91	165	-159	-509	-1355	-226	-1823	-34	337	368	385	412	781	86	
-8	185	171	-98	-25	-173	-946	-2356	-1098	-2082	-393	442	580	1418	918	1099	-193	
0	16	91	56	8	-187	-859	-2298	-1343	-1895	-339	211	341	1605	1658	647	-47	
-87	-50	123	225	155	41	-480	-1138	-137	-1507	-265	402	408	1147	1389	324	188	
-147	-99	226	233	92	-76	-214	-978	-76	-673	-305	136	208	534	1069	134	59	
-169	143	171	133	58	-7	-275	-452	-410	-616	-271	20	152	366	238	189	165	
