-239	-197	61	0	-141	-171	-444	-318	-248	-198	-156	-200	-104	-198	-143	130	143	-45	6	-23	-25	86	-67	43	
-368	-229	-35	-111	-392	-367	-518	-479	-333	-178	-236	-78	-87	-192	-96	156	183	52	156	-52	-8	-199	-142	-140	
-246	-183	-103	-208	-308	-385	-489	-745	-377	-732	-252	-215	26	-38	17	78	382	184	146	75	86	-221	-162	-229	
-190	-138	-110	-82	-245	-1053	-1088	-1375	-481	-496	-414	-96	17	0	200	322	643	-104	117	121	182	-125	-207	-81	
-204	-165	-117	-344	-1020	-1321	-1057	-2084	-1740	-874	-940	-296	139	156	337	574	678	434	307	434	373	-27	-207	-168	
-212	-198	-181	-156	-737	-2392	-2033	-2824	-2417	-2180	-720	-638	-30	357	418	1165	1932	1748	719	564	1066	230	-74	-88	
-202	-219	-252	-572	-800	-2912	-3136	-3848	-1771	-2400	-444	-953	-81	296	888	1428	3228	2856	2877	1257	2097	-45	459	-133	
-178	-304	-452	-855	-1399	-3684	-4223	-4572	-2464	-2322	-60	-795	-148	226	627	1372	3434	3362	3928	3170	2378	520	1018	227	
-184	-364	-923	-1250	-2076	-5008	-5609	-3769	-1834	-1535	541	-575	61	-148	531	478	3040	3381	4415	3883	4215	920	1411	455	
-303	-386	-908	-2195	-4299	-5922	-5278	-2982	-207	-874	964	-414	261	-583	-15	-259	2232	2555	4716	4558	5864	1445	1580	-8	
-319	-403	-518	-3709	-5118	-7072	-4302	-1927	323	-37	2904	69	296	-1323	-465	-1706	1143	903	4809	5814	7420	2681	2647	801	
-286	-569	-781	-4229	-6505	-7482	-4223	-1029	1185	852	4279	314	514	-1983	-2886	-3372	-96	69	4697	5927	8264	3487	2479	1194	
-401	-804	-1617	-4513	-7734	-7545	-2978	-348	2788	2604	6050	898	43	-3005	-3877	-5023	-1015	-295	4472	7596	8526	4143	2741	895	
-263	-765	-1854	-5175	-8065	-8175	-2112	-340	3033	3358	6954	1802	-200	-3697	-5370	-5919	-1471	-572	3177	7483	8901	4686	3059	914	
-591	-301	-1018	-5522	-7734	-7513	-1939	-274	2618	3867	6935	1312	69	-3194	-4285	-5730	-1738	-446	2783	6058	8320	4199	3527	932	
-609	-712	-1160	-4891	-7624	-7419	-1891	-399	1694	2434	6219	1331	-45	-3068	-3877	-4488	-1046	-369	3609	6396	8657	4573	3321	708	
-197	-493	-419	-3819	-6284	-6726	-3372	-761	544	489	3432	936	26	-2612	-2336	-3058	-443	600	3046	5908	6839	3768	1954	446	
-374	-224	-88	-3189	-5150	-6190	-4223	-2446	0	-97	2358	-148	122	-1433	-1330	-967	513	1560	3984	4802	6108	2513	1130	372	
-273	-307	-393	-1723	-3668	-5434	-4380	-3596	-921	-1598	1285	-362	-133	-819	-259	539	1819	2480	5260	4276	4365	1913	512	416	
-232	-336	-520	-1281	-2202	-4173	-4695	-3564	-2118	-2888	113	-687	-279	-244	287	1353	3021	3531	4809	3020	3503	1051	407	173	
-230	-231	-67	-148	-1840	-2282	-3766	-3549	-2936	-3408	-1050	-1315	-52	270	1151	2180	2927	3269	4247	2382	1872	321	190	95	
-204	-151	-15	-134	-548	-1809	-2459	-2919	-3157	-3392	-846	-1425	-89	104	1283	2105	2814	2236	3233	882	1441	26	112	52	
-175	-151	131	-101	-111	-612	-1340	-2068	-1740	-2574	-421	-1315	52	261	888	1541	2589	2311	1770	156	182	62	182	-104	
-187	-177	-30	-289	-319	-328	-127	-1360	-1378	-2038	-311	-1189	139	156	558	921	2176	641	982	86	-126	78	41	-199	
-204	-41	217	87	131	-252	-149	-147	-385	-1220	-444	-407	22	26	270	95	583	356	234	139	-229	-118	104	-177	
-85	101	165	96	85	-60	-67	-93	-308	-685	-466	-259	-48	-126	-133	-436	104	43	121	165	-236	-52	147	-98	
