58	16	-271	-359	-207	-21	374	-116	-190	
117	-91	-464	-565	-317	16	513	0	-114	
-130	-496	-679	-829	-227	16	521	170	-102	
-374	-969	-1283	-1224	-255	147	811	381	137	
-391	-1162	-1268	-1181	-83	691	1300	538	315	
-489	-1132	-856	-858	-138	262	846	382	161	
-196	-77	-139	-228	-172	-117	114	-34	64	
-28	708	456	649	-110	-847	-1488	-1061	-407	
167	1662	1762	1948	213	-1355	-2282	-2268	-190	
435	1680	2228	2001	312	-1776	-2542	-2742	-285	
108	1176	2281	1521	337	-1355	-2729	-2728	-407	
-49	425	599	720	312	-702	-1242	-1751	-332	
