-8	-140	-16	-57	-161	-244	-347	-249	-172	-92	211	48	48	
21	-59	-10	-3	-28	-393	-430	-242	-207	57	326	168	88	
44	-22	109	84	-115	-362	-900	-551	-90	204	758	210	8	
-77	-128	37	33	-154	-614	-1371	-1430	-234	302	496	413	250	
-178	-156	-3	-39	-133	-585	-1857	-1342	-975	245	513	746	492	
-174	-191	-8	13	83	-792	-1709	-1283	-786	131	358	573	476	
-226	-402	-204	16	251	-112	-215	-214	-372	-69	-28	0	-82	
-178	-839	-338	-225	125	241	599	489	-282	-847	-867	-1033	-285	
-397	-824	-505	-267	234	1158	2639	1663	-152	-1747	-2224	-2283	-312	
-461	-673	-591	-406	167	1644	3283	1574	148	-2487	-2527	-2929	-349	
-142	-106	-429	-1077	117	1338	2890	1467	411	-1558	-1878	-1866	-635	
-220	0	-447	-958	125	575	1548	355	49	-586	-405	-1090	-339	
-185	67	-169	-510	-140	225	141	74	16	-144	-308	-130	0	
