-224	-407	-368	-448	-207	-179	81	-130	-65	
150	-418	-915	-492	-42	417	701	259	80	
-35	-955	-1077	-1342	-172	368	1143	851	161	
-203	-1102	-1091	-1298	-482	180	671	469	371	
-363	-895	-944	-917	-800	98	627	555	247	
-147	-223	-104	-76	-227	23	122	40	153	
-119	416	886	1023	-69	-1210	-867	-1277	-190	
41	1212	2102	2392	24	-1935	-2267	-2283	-492	
92	1014	2657	2392	230	-2168	-2484	-3202	-463	
8	852	2442	1859	452	-949	-1878	-2125	-380	
-70	316	1351	880	468	-528	-809	-1104	-231	
-447	-146	-125	66	82	-226	-280	-300	-210	
-447	-237	-575	-373	65	8	260	97	-183	
-510	-126	-944	-697	-7	573	521	451	-129	
-510	-67	-1077	-814	-35	334	554	316	-34	
-412	-105	-871	-624	-172	245	309	137	-25	
-328	-361	-606	-243	-234	-110	301	123	-122	
-135	-404	-603	-76	-49	-103	211	178	121	
-118	-251	-423	-90	-53	-96	35	-14	-6	
