-134	-28	-70	-32	-7	-207	-377	-317	-340	40	112	160	215	215	142	
-29	35	-35	41	82	-110	-514	-342	-354	-292	-61	296	494	381	237	
-36	26	66	82	198	-172	-1007	-694	-975	-427	-81	584	859	269	426	
117	41	91	175	198	-523	-1079	-1083	-1004	-563	-54	801	1232	222	329	
20	50	91	57	-28	-538	-1079	-809	-552	-332	-68	682	1029	39	198	
8	41	75	-7	2	246	-295	-198	-62	-163	-111	-48	-54	-141	102	
-63	-14	-70	-561	-201	403	401	464	694	137	-162	-505	-807	-588	-386	
-211	-196	-292	-591	-145	564	1886	1807	1580	533	-601	-1679	-1638	-1429	-1313	
-344	-324	-341	-1121	-653	1730	2150	3099	2622	463	-601	-2698	-2512	-2201	-1690	
-302	-351	-407	-1209	-433	1182	2695	3554	3507	1085	-402	-3208	-3625	-2102	-1648	
-204	-229	-53	-841	-394	1023	2519	3414	2830	342	-502	-2302	-3104	-2327	-1634	
-253	-137	-133	-409	-318	296	1552	2575	1250	129	-169	-1367	-2033	-1542	-714	
-211	67	-153	-153	-189	-69	57	846	0	90	16	-489	-765	-361	-167	
16	552	-91	-42	-76	-227	-514	-205	-903	-246	40	16	15	238	324	
291	392	91	307	-104	-248	-862	-1127	-1765	-210	257	392	419	598	814	
16	237	100	138	-111	-494	-1370	-1242	-2240	-420	353	546	1351	2029	1015	
-36	54	77	259	-104	-275	-1210	-1242	-2110	-339	321	495	1198	1709	630	
-34	1	102	365	-42	-152	-1167	-1488	-1234	-305	201	375	1147	1237	474	
113	92	-35	95	-49	-69	-963	-607	-702	-143	136	392	502	357	260	
