-82	191	206	424	275	273	452	95	-89	-148	121	
34	577	357	827	417	252	794	378	199	110	123	
104	1574	738	1165	1162	979	888	425	251	189	114	
270	1122	1640	2105	3059	1861	1676	938	841	8	373	
653	1574	1020	2274	3040	2330	2652	1314	1928	295	407	
279	418	1001	1504	2627	3175	3383	3039	3746	529	702	
113	194	426	348	2382	2255	4265	3883	5977	1164	1374	
139	-178	-178	-178	1162	1072	4078	5027	7045	2175	1673	
287	-111	-325	-458	661	265	4734	5477	7289	2288	2198	
-3	-126	-104	-1502	400	-30	4265	6939	7608	3487	3415	
-177	-163	-387	-1879	-96	-23	3177	6808	8114	4236	3097	
-230	-465	34	-1408	130	139	2258	6283	8545	4218	2853	
-301	-441	-192	-1313	-212	121	2089	5983	8976	4049	2497	
69	-347	-259	-1015	217	756	2652	4914	8339	3787	1767	
-281	-318	-296	-543	513	1166	3402	4952	7570	3000	1617	
0	-171	-89	69	1293	1898	4171	4820	6202	2363	812	
-82	-46	191	304	2777	2874	4378	3939	4815	1370	606	
95	218	548	959	3265	3025	4734	2945	3109	572	504	
122	278	850	940	3321	2124	3477	1445	2697	538	555	
287	592	907	790	2777	2161	1939	408	356	190	193	
79	17	555	940	2439	1448	1188	208	121	173	6	
531	-266	357	243	936	495	156	52	-266	52	-59	
