-23	30	107	-104	-296	-146	-309	-231	-35	112	320	342	164	237	
-105	50	348	-180	-205	-122	-361	-573	56	193	363	462	298	292	
-196	166	414	-76	-220	-383	-1170	-989	-143	160	480	1131	537	316	
-84	250	168	-83	-214	-1123	-560	-1018	-278	64	733	1317	404	286	
-259	66	91	-242	-97	-1297	-444	-417	-136	-34	400	792	460	300	
-11	67	-77	-118	57	-302	-14	-68	-95	-21	112	39	15	173	
-126	-111	-305	-207	263	335	968	781	-61	-416	-424	-666	-214	-293	
-210	-77	-812	-477	581	1921	2505	1944	250	-658	-1551	-2005	-1472	-1300	
-524	-355	-1077	-332	952	2044	3501	2552	360	-1171	-2797	-2413	-2537	-1913	
-316	-82	-1371	-249	1218	2695	3501	2917	998	-914	-3605	-3244	-2677	-1718	
-227	-8	-1400	-290	864	2519	2925	2153	273	-658	-3081	-3258	-2818	-1648	
-159	-160	-381	-373	351	1500	1894	642	16	-115	-1891	-1455	-1794	-1146	
-105	-128	-181	-152	49	327	480	-102	-35	-108	-433	-268	-501	-128	
628	-63	-153	-132	-7	-336	-178	-659	56	136	176	318	214	331	
1064	41	14	-104	-244	-789	-722	-1377	-89	120	529	1012	1002	387	
438	-42	10	-71	-76	-1413	-1083	-1909	-992	225	597	1520	1271	998	
187	171	207	-111	-303	-1355	-867	-2010	-488	152	400	1486	1237	731	
213	333	150	-104	-553	-586	-535	-1406	-251	152	352	622	1086	932	
195	233	165	-104	-420	-456	-506	-587	-244	-34	215	279	341	480	
138	175	8	0	-117	-315	-219	-271	-109	32	141	119	134	229	
