19	-26	-15	-155	-160	-467	-333	-318	-289	-137	220	-116	-60	
19	31	-19	13	33	-570	-871	-302	-236	-199	472	170	8	
-13	-29	92	193	-64	-807	-1150	-521	-152	180	492	316	218	
-86	-78	-8	42	-296	-999	-1415	-1005	-262	278	1003	1007	201	
-78	-92	17	-8	-161	-1191	-1342	-1444	-337	204	531	729	161	
-185	-113	-23	-77	-217	-821	-1194	-1488	-544	-131	407	451	113	
-220	-154	-78	-57	41	91	-215	-290	-282	-144	105	-55	80	
-341	-205	-296	-50	159	1104	456	396	106	-601	-910	-1018	-210	
-504	-240	-378	-64	167	2148	2532	1379	164	-1732	-2556	-2024	-353	
-321	-389	-377	-218	33	1896	2693	1805	509	-2327	-2831	-2613	-306	
-184	-297	-522	-148	-35	1212	2711	2268	793	-1341	-1704	-1895	-251	
-227	-266	-273	-143	-49	508	903	1005	509	-659	-881	-745	-217	
-163	-142	-136	-99	-56	183	-257	66	-7	-137	-342	-306	-204	
-93	-85	-29	50	-77	-174	-485	-595	-168	16	195	-130	-48	
-50	-49	-36	58	-126	-160	-1003	-814	-83	499	489	324	80	
-3	-22	16	-7	-49	-274	-974	-932	-220	375	405	308	-68	
-53	-54	50	-50	-154	-341	-812	-565	-557	78	207	202	-68	
-43	-191	15	-50	-175	-372	-767	-448	-282	49	146	97	8	
25	2	253	33	-70	-202	-603	-432	-303	32	293	243	88	
