-147	-341	-291	-201	-204	-172	472	162	-34	
25	-397	-650	-536	-282	147	440	295	-68	
-77	-688	-812	-1166	-296	311	513	373	201	
-433	-777	-1091	-1063	-317	401	455	486	193	
-321	-955	-1180	-419	-158	270	423	321	91	
-133	-167	-291	33	-14	106	114	-75	8	
16	283	939	756	-35	-557	-1257	-1320	-278	
192	1500	2299	1788	-207	-1471	-3004	-2527	-506	
192	1626	2836	2072	41	-1921	-3379	-3432	-406	
276	1302	2228	1467	394	-1094	-2282	-2383	-535	
184	316	1333	792	328	-398	-722	-1176	-305	
-175	-7	510	66	-83	-199	-116	-279	-149	
-252	-313	-118	-380	-49	-131	489	-75	40	
-175	-481	-458	-595	74	327	600	284	40	
-260	-792	-503	-521	-76	270	424	332	48	
-28	-555	-709	-697	90	114	266	162	40	
-28	-329	-488	-448	57	0	158	132	88	
117	-244	-651	-421	-107	-35	132	121	-11	
52	16	-394	-322	-206	-192	15	81	-34	
-49	-126	-423	-332	-200	-121	-88	-136	-114	
