91	68	0	-296	-220	-218	-368	-163	32	95	247	246	94	-113	-350	-277	-282	
8	82	-63	-209	-232	-246	-573	16	32	144	255	180	0	-120	-602	-404	-341	
108	66	41	-159	-252	-347	-573	-102	16	328	558	222	150	-319	-644	-395	-199	
183	37	-35	-159	-644	-1416	-1234	-326	128	699	792	349	252	-232	-961	-86	-121	
114	-63	-118	-289	-1225	-1141	-875	-749	0	1313	961	325	169	23	-920	-468	-243	
16	-257	-222	-365	-760	-267	-348	-305	8	716	406	222	79	-127	-588	-395	-350	
83	-298	-145	246	-302	-96	56	-197	-100	-7	-61	-234	-120	-20	47	-33	-276	
-216	-541	-125	501	221	505	729	-28	-203	-485	-694	-392	-393	125	173	234	-197	
-320	-915	-166	510	1763	1562	1667	113	-237	-1665	-1695	-1724	-1021	-219	289	511	326	
-393	-1194	-387	1182	2273	2995	2465	177	-345	-2670	-2779	-2509	-1383	-173	467	1085	590	
-97	-1268	-249	723	2291	3204	3351	722	-135	-3421	-3822	-2551	-1565	-100	501	1003	139	
-167	-1400	-283	263	1974	2418	2622	515	-75	-2812	-3258	-2341	-1927	-54	336	639	-125	
-334	-591	-463	16	1218	1440	1736	-106	-169	-1976	-1666	-1149	-630	-67	203	249	-138	
-334	-70	-228	-106	196	689	194	16	-243	-999	-624	-161	-74	35	141	78	-23	
41	-35	-207	-406	-659	-212	-731	-201	-61	64	47	484	395	141	23	15	-115	
141	106	-28	-421	-1370	-939	-1291	-28	-27	232	859	1338	347	47	-225	-166	-171	
225	349	-35	-727	-1500	-1026	-1521	-508	152	440	1452	1507	932	-126	-298	-283	-191	
306	707	41	-815	-1094	-1141	-1765	-326	249	512	1385	1305	814	78	-145	-254	-268	
133	313	49	-255	-1007	-1271	-1406	-122	88	750	1012	732	569	133	-89	-198	-322	
91	90	80	8	-644	-434	-817	-244	-162	801	859	665	597	-14	-146	-376	-322	
-91	41	173	213	-268	-396	-443	-278	-223	512	300	198	245	55	-337	-376	-337	
