-265	-513	-270	-427	-69	415	194	40	
-363	-650	-272	-427	-55	603	292	307	
-383	-1135	-345	-310	163	619	208	379	
-777	-915	-642	-421	212	1003	503	517	
-1029	-1032	-1283	-289	409	1283	712	377	
-999	-900	-1049	-454	139	1073	434	125	
-223	58	-201	-413	-117	-14	-89	-95	
466	1226	297	-241	-775	-925	-1047	-678	
1464	2872	1432	115	-1674	-2369	-2053	-549	
1932	3140	2250	287	-2269	-2311	-2714	-420	
1986	2478	1752	279	-2052	-2643	-2340	-427	
1194	1172	880	65	-1167	-1170	-1219	-251	
225	420	33	-62	-194	-55	-55	8	
