373	102	41	-90	-63	-252	-298	-843	-370	-208	-62	164	692	302	98	53	-53	-208	-208	35	
200	180	337	16	-215	-702	-792	-1256	-461	-356	-95	31	1188	847	0	256	7	-296	-259	175	
514	82	649	278	-110	-817	-978	-1612	-1084	-934	7	213	1205	1062	445	596	-255	-223	-76	-68	
226	-35	369	106	-226	-1464	-1593	-1711	-1495	-1131	111	221	1869	1937	1298	645	103	-82	-111	-163	
151	165	346	253	32	-1967	-1564	-1540	-1452	-948	-141	173	1836	1739	1069	543	286	-96	-252	-392	
56	156	164	237	-82	-1765	-964	-1242	-1183	-402	-167	63	1288	1194	888	85	100	-151	-341	-291	
8	-28	-83	-165	-335	-831	-238	-41	-135	-101	-61	-280	-54	-298	304	-14	-190	-15	-152	-163	
-167	-187	-337	-480	0	194	234	538	512	159	63	-326	-510	-1210	-376	-440	-314	332	-89	393	
-338	-829	-1223	-717	505	712	1499	2505	2029	1283	103	-616	-1010	-2729	-1557	-1921	-510	513	503	446	
-61	-1312	-1675	-920	793	2066	2741	3740	3733	2232	103	-1244	-2231	-4455	-2395	-2591	-477	1194	1599	881	
-532	-1620	-1631	-1021	505	2431	3984	4254	4159	2740	103	-714	-3620	-5685	-3522	-2441	-686	759	1599	1655	
-385	-1620	-1821	-1196	627	2552	3932	4357	4671	2740	7	-797	-4300	-5961	-3769	-2372	-908	1704	1788	2071	
-464	-1430	-1442	-731	1370	1979	2948	2985	4228	2062	15	-728	-3495	-3889	-3206	-2659	-523	979	1334	691	
-478	-1078	-494	-311	392	1180	2016	1562	2779	1063	-101	-379	-2356	-2108	-2024	-1853	-196	475	656	411	
-187	-214	-324	-456	0	162	476	233	368	271	-127	71	-816	-1362	-652	-178	-105	464	306	306	
-42	173	263	-59	-294	-395	-190	-544	-122	-208	-194	189	-54	-20	-264	-35	77	87	-230	-163	
67	80	864	253	-205	-1104	-1235	-1626	-437	-934	-307	363	872	1607	872	225	212	-163	-540	-489	
190	495	988	564	-178	-1234	-2308	-2750	-1381	-1370	-238	221	1620	2615	1512	458	153	-644	-745	-90	
182	863	1377	937	-417	-1061	-2051	-2622	-1920	-1455	-428	252	1786	2301	1856	938	588	-311	-761	-247	
99	240	1377	532	-328	-932	-1779	-2039	-1849	-1060	-461	379	1770	2169	1791	652	208	-425	-524	-74	
-42	338	422	343	-69	-645	-1235	-1256	-1424	-1004	-241	86	1437	1904	1134	474	-20	-221	-82	52	
41	305	254	196	-69	-645	-563	-1171	-1042	-638	-167	23	1205	1079	1200	225	-27	-95	-45	14	
