49	116	41	-30	-206	-226	-388	-271	-203	24	-208	-113	-54	243	329	54	10	-20	-49	-82	-60	
16	32	-42	-76	-254	-287	-1191	-835	-658	-236	-132	-61	110	338	299	210	107	7	43	-363	-97	
-35	41	74	115	-302	-362	-1492	-1050	-900	-209	-128	-107	110	706	321	577	442	270	122	-160	-207	
8	107	280	312	-363	-477	-1895	-1364	-929	-155	-61	47	245	856	399	1249	551	147	-222	-422	-413	
121	331	352	403	-528	-1271	-2096	-1064	-886	-175	-141	293	395	721	814	1528	528	228	-341	-950	-489	
178	381	396	-14	-876	-1545	-1277	-292	-359	-21	-67	254	94	362	360	1085	674	580	-341	-1029	-481	
141	194	181	24	-1138	-1242	-1104	274	-68	16	128	230	209	275	-14	351	505	-98	-385	-1376	-385	
66	74	-76	-317	-1268	-314	-272	678	233	320	334	170	167	141	-304	-435	93	-40	-178	-1123	-178	
-149	-395	-318	-314	-514	154	937	912	601	504	406	-121	150	-378	-823	-980	-718	-196	552	-45	-15	
-316	-812	-902	-104	16	1108	1684	1499	687	1091	350	-368	-94	-1093	-1348	-1378	-2031	-419	788	507	586	
-181	-1165	-1268	-698	532	2383	2379	1464	1236	1364	159	-616	-120	-746	-2439	-2285	-1976	-1262	797	1391	1032	
-265	-1091	-1766	-290	744	2593	2066	1723	1888	1057	87	-348	-260	-1135	-2370	-2299	-2181	-1602	630	1996	472	
-369	-635	-1386	-234	556	2820	2431	1844	1939	376	-161	-325	-313	-1551	-1790	-1942	-2837	-2187	1402	2128	843	
-341	-753	-1312	-110	1113	2680	2813	1378	1373	240	-114	-250	-340	-1399	-1555	-1887	-3001	-2350	420	1769	656	
-437	-229	-1430	-186	491	2226	1875	722	601	160	-81	-221	-340	-1218	-1859	-1213	-1251	-1969	343	639	595	
-145	41	-1049	-165	-14	1562	521	347	297	-148	-56	-127	-449	-1232	-934	-801	-527	-804	29	367	411	
8	40	-201	-204	-185	260	121	121	152	-417	135	-147	-421	-365	86	-334	-381	-66	16	52	-237	
83	315	66	-262	-224	-226	-803	-387	-288	-196	-38	-234	-267	-14	329	163	-178	78	51	-23	-250	
175	622	363	-262	-220	-253	-1234	-1693	-715	-291	-72	-61	-120	267	437	569	489	270	-60	-254	-500	
50	368	275	32	-220	-355	-1751	-1607	-1185	-489	103	111	86	417	583	773	743	603	-185	-430	-318	
160	224	226	328	-247	-423	-1607	-637	-914	-886	-315	127	403	590	979	1200	419	297	-65	-215	-226	
8	49	80	148	-185	-280	-1277	-921	-701	-1183	-376	119	300	243	572	429	376	200	-156	-237	-79	
-91	-30	96	53	-185	-526	-1334	-792	-270	-688	-222	31	252	86	211	273	278	170	-40	-137	157	
