-113	-132	-119	182	90	-140	-124	-198	-327	-180	-169	216	15	79	150	-219	
-99	-63	-28	108	49	-95	-93	-314	-380	-75	64	408	151	190	237	-193	
-99	8	100	232	148	-193	-746	-780	-803	-210	24	955	342	516	308	-153	
25	58	141	116	107	-7	-789	-1517	-846	-116	8	1040	707	1170	1082	-272	
117	40	-98	-14	74	164	-891	-1112	-1205	-292	120	818	368	396	1082	-226	
42	-27	-181	-183	-173	21	-340	-76	-252	-292	104	392	-128	142	237	188	
-64	-190	-334	-361	-83	435	147	1055	397	-163	-189	-323	-1117	-182	-602	55	
-260	-335	-570	-409	-173	1112	1359	2401	1389	72	-324	-1735	-1990	-1682	-1174	-199	
-302	-426	-600	-929	-332	1306	1869	3327	1910	298	-544	-2486	-3033	-2397	-1481	-87	
-260	-344	-422	-1135	-256	740	2167	4427	2917	584	-502	-3251	-3597	-2649	-1983	23	
-232	-266	-541	-1209	-401	422	1886	3554	2379	118	-243	-2698	-3005	-2761	-1690	283	
33	-224	-327	-503	-261	16	1306	1649	1111	145	-34	-1650	-1525	-967	-1118	157	
-8	-126	-376	-414	-155	-165	57	334	-21	28	-230	-291	-242	-274	-193	275	
151	50	116	-284	-297	-625	-384	48	-530	-120	-140	-155	287	357	411	322	
-15	87	208	149	-194	-684	-760	-722	-1535	-7	-54	336	876	1170	965	133	
58	108	341	510	-138	-406	-1355	-1690	-1852	-387	257	870	1503	1675	1450	-305	
-71	209	283	277	-138	-310	-1007	-1574	-2038	-204	257	443	1351	1591	1400	70	
-85	100	58	56	-125	-42	-543	-369	-1306	16	152	614	775	1221	1049	157	
8	-7	11	16	-16	-28	-256	-137	-530	64	8	424	430	699	497	393	
