-163	-204	-167	-94	-42	-153	-260	-235	-59	-48	619	157	60	9	-27	-13	
-192	-161	-169	-52	-35	-258	-374	-419	41	-21	473	64	8	-14	69	3	
-100	-141	-64	92	3	-285	-1003	-639	-150	122	346	292	218	-75	-31	0	
-107	-113	-36	109	-187	-703	-1253	-1166	-124	180	497	362	298	-108	-115	23	
28	169	76	66	-154	-718	-1106	-1430	-241	368	505	364	622	-61	-88	-39	
93	74	-64	-58	-189	-792	-1106	-1078	-461	221	193	259	199	-203	-110	-14	
8	-47	-92	-140	-168	-49	-84	-331	8	-131	-212	-143	121	-102	122	279	
-163	-177	-275	-239	100	533	903	355	90	-601	-1314	-1104	-143	56	424	334	
-652	-884	-584	-274	175	2112	2442	1788	16	-1021	-2296	-2225	-420	225	512	572	
-504	-537	-577	-204	75	1896	2764	2161	-35	-1573	-2542	-2484	-806	275	1091	876	
-248	-342	-612	-436	117	1104	3086	1414	271	-1312	-2325	-1765	-434	515	852	215	
-234	-236	-368	-241	293	525	1583	952	312	-456	-607	-386	-420	313	320	302	
-185	-29	-380	-197	-112	125	348	-21	139	65	97	-14	-177	257	64	-128	
-83	-168	-211	-134	-184	-313	-333	-165	172	204	898	97	-24	-88	-222	-153	
-57	-143	-162	-78	-175	-260	-575	-477	90	343	638	343	72	-95	-357	-114	
-29	-47	92	50	-184	-511	-709	-668	-97	147	654	568	-271	-257	-253	-88	
-84	36	245	67	-98	-327	-561	-373	-90	305	484	324	-8	-149	-103	-7	
-31	33	164	0	-147	-334	-723	-316	-76	24	279	267	64	-54	0	-41	
-43	161	380	134	-5	-341	-448	-207	24	-172	120	162	86	19	-33	-128	
