20	-108	155	12	42	33	-254	-286	-280	-327	-606	-283	-235	-206	309	233	201	291	464	223	15	79	-47	-258	-244	-173	-161	
269	86	215	169	93	-255	-282	-421	-568	-422	-782	-639	-207	-213	154	194	201	321	1228	446	235	316	-34	-754	-412	-338	-327	
347	138	344	359	34	-318	-683	-749	-1088	-1206	-1165	-873	-110	-233	326	607	757	807	1909	876	166	482	-126	-1169	-613	-315	-190	
595	276	442	437	136	-219	-1347	-1107	-1162	-1502	-1680	-990	49	-8	147	34	860	1339	1773	1656	309	747	-20	-740	-553	-414	-484	
898	138	714	973	307	-311	-1587	-1286	-1445	-1398	-1342	-1137	-159	-32	236	219	379	1390	1654	1639	850	998	-100	-934	-746	-1114	-503	
430	389	1014	843	162	-688	-1857	-704	-835	-955	-1283	-507	-289	-194	132	170	161	721	750	1317	1069	982	62	-423	-348	-1948	-673	
321	259	639	638	-57	-447	-1737	-674	-479	-299	-664	-201	-124	-124	317	-102	88	249	272	775	699	915	307	-20	-416	-558	-634	
34	147	366	214	-78	-269	-1362	-43	-370	175	-257	-118	-138	-1	342	-381	-258	-115	-384	95	0	647	440	172	-178	-315	-523	
-89	-94	-7	-121	-142	-226	-310	269	100	608	-42	-82	-124	-83	342	-817	-864	-81	-702	-610	-281	252	409	384	148	-294	-334	
-108	-201	-179	-912	-142	-128	448	579	919	1536	248	-42	-62	-52	-48	-831	-1722	-573	-1523	-1356	-995	-326	393	446	460	134	-79	
-366	-384	-1023	-1384	-156	101	1422	1289	1154	1842	572	305	-14	-14	-55	-1104	-1693	-1057	-1580	-1864	-1093	-895	-93	1359	1052	450	162	
-134	-905	-1879	-1521	-121	812	2759	1872	2259	1428	713	1236	526	-172	-471	-1809	-1464	-1341	-1580	-2047	-813	-1606	-186	682	1298	889	324	
-317	-1320	-2322	-1901	571	959	3144	2236	2802	1644	414	1539	1730	-117	-1242	-2484	-2008	-1939	-1920	-2413	-1205	-1844	-464	368	2250	743	372	
-231	-1826	-2750	-1947	400	1272	3712	2091	3128	1482	1530	1716	2102	-7	-1430	-2383	-2022	-1982	-1877	-2624	-1892	-2164	-607	391	2382	520	518	
-173	-1688	-2398	-1642	221	1788	4078	2109	2892	1212	1780	1539	2066	40	-1589	-1981	-2065	-1612	-1452	-2610	-1570	-2318	-703	532	2234	775	527	
-281	-1166	-2368	-1277	-43	1070	3016	1890	2277	618	2245	880	1571	98	-1069	-1363	-1078	-1142	-2004	-2695	-1892	-2178	-444	616	2053	1150	405	
-195	-767	-1390	-1141	-305	922	1386	1490	1969	384	2281	685	353	-42	-335	-573	-835	-772	-1254	-2244	-2159	-1397	267	611	1134	271	61	
-51	-251	-748	-654	-376	305	415	1071	1498	582	1458	133	123	-37	-137	-225	-563	-1114	-716	-1920	-1359	-769	377	572	374	143	-72	
41	-51	-322	-50	-581	-389	101	798	955	200	742	-21	-275	-90	211	-34	-163	-304	-192	-1103	-700	197	473	313	85	0	-301	
234	311	-122	42	-988	-1246	-987	75	418	-56	49	-221	-253	-69	309	186	-34	-27	144	-34	-328	446	315	-60	-158	-499	-315	
504	337	318	824	-319	-1050	-1752	-379	-523	-285	-222	-408	-263	16	213	265	379	144	216	741	396	865	401	-588	-448	-1730	-386	
312	380	208	1309	-234	-1110	-2367	-1555	-1355	-1147	-409	-429	-406	-76	188	284	589	370	688	1351	1204	1467	133	-1182	-1035	-1607	-497	
304	696	340	1458	204	-779	-1977	-2406	-1667	-1798	-370	-492	-379	-226	334	868	1119	481	1568	1842	1355	1049	31	-1224	-1516	-445	-484	
272	508	246	1346	383	-507	-1092	-2287	-2098	-1354	-826	-990	-399	-55	154	607	946	893	1654	1791	1271	848	-140	-1113	-1282	-486	-91	
182	181	304	507	-29	-219	-612	-1570	-1341	-1487	-414	-726	-217	-158	117	312	446	1081	1091	1842	674	395	-206	-851	-1254	-1073	38	
113	0	284	171	-78	-135	-282	-1033	-820	-1206	-347	-756	-152	-85	163	324	492	515	360	1131	373	102	-93	-989	-474	-486	-20	
