104	192	52	152	357	252	209	61	-229	-100	-155	
209	489	400	270	357	122	122	17	-53	52	-251	
279	1224	789	681	680	305	183	209	-52	52	-266	
410	828	2071	1097	1850	235	348	217	-163	17	-160	
550	611	2165	1455	2471	1105	1606	-178	42	-11	-118	
524	1168	2561	1417	3356	1990	2904	217	391	17	200	
358	463	1920	1191	3243	2366	4447	1273	1377	261	93	
87	-37	1298	1115	2754	2705	5934	2608	2354	940	356	
17	104	337	113	2433	2348	6047	3755	3162	1748	304	
-227	-100	-97	-333	506	1971	6799	5053	3501	2518	365	
-300	-178	-764	-1015	192	992	6837	6558	4140	2105	655	
-281	-352	-984	-1251	174	503	7082	7385	5644	1879	354	
-269	-714	-1220	-1251	183	366	6574	7554	5738	1898	655	
-311	-509	-466	-1472	-218	226	7383	7799	5324	1522	1293	
-82	-604	-60	-500	192	672	7194	7084	4610	1691	1199	
-15	-604	113	-3	488	1839	7326	6501	3313	1597	1087	
69	-370	43	-111	945	2649	6197	4827	1621	696	955	
-129	-296	401	531	2000	3421	5162	3511	1395	409	548	
236	-148	1562	1341	2433	3759	2923	1874	409	165	78	
74	-45	1732	1398	3225	3006	1964	496	365	-8	130	
162	-141	1732	1191	2659	1180	966	26	87	-119	-20	
73	52	1204	286	2772	505	235	-281	-52	17	47	
43	87	489	288	776	383	-8	-182	-303	-45	10	
