-260	-261	-345	-130	-76	211	113	-65	
-467	-319	-345	-62	-62	116	73	-14	
-496	-650	-829	-165	55	244	73	8	
-418	-841	-932	-83	204	521	451	72	
-910	-988	-1561	-69	286	828	1059	517	
-999	-1062	-1503	-117	330	811	642	388	
-1088	-1342	-756	-413	343	521	251	148	
-299	-187	-97	57	-42	-35	-75	-13	
391	398	720	172	-427	-823	-1306	-55	
2094	2031	1752	-269	-1210	-1921	-2398	-749	
2346	2693	1805	-76	-2095	-1979	-2742	-649	
2184	2299	1147	180	-1326	-2253	-2125	-806	
1248	1065	495	263	-644	-867	-645	-461	
41	116	-173	-131	-96	73	-238	-177	
-258	-347	-168	-54	98	317	8	-48	
-304	-554	-290	-14	343	692	729	153	
-629	-561	-844	-172	171	863	471	8	
-319	-635	-946	-447	131	435	284	73	
-362	-473	-917	-179	-179	100	56	-21	
-341	-443	-408	24	-144	34	-31	-95	
-174	-374	-269	-83	-117	-26	-116	-47	
