62	-74	143	44	159	-17	-133	-259	-185	-200	-291	-311	-162	-323	-287	16	-10	54	-19	-124	268	44	-14	24	-52	-151	-94	-34	
62	-169	12	156	263	34	-116	-193	-220	-257	-279	-332	-408	-379	-314	-91	49	115	-76	117	423	-28	-15	24	40	-222	-174	-107	
40	14	150	308	667	171	0	-216	-244	-426	-490	-248	-318	-71	318	84	124	322	287	245	333	-7	4	16	-92	-169	-47	7	
47	35	327	502	538	-15	-137	-345	-522	-1004	-1004	-779	-542	-239	53	223	390	418	287	849	671	421	24	-122	-279	-196	-167	-107	
144	436	515	564	424	-29	-188	-402	-1543	-1688	-1897	-1442	-697	-421	150	366	1136	1112	427	1201	529	225	-109	-359	-588	-168	-114	-7	
-8	231	735	1098	623	-44	-346	-1212	-1986	-1947	-2033	-1984	-1392	-286	167	383	1440	1129	776	2308	1108	324	185	-345	-1013	-257	-141	-111	
45	213	363	1484	1327	34	-1090	-1688	-1818	-2068	-1760	-1984	-1977	-689	33	166	1440	1218	1023	2378	1859	903	363	-183	-957	-271	-321	-120	
-15	267	374	1407	1288	-159	-905	-1581	-1741	-1156	-1927	-2029	-2022	-525	117	483	886	774	1448	1482	1824	1858	739	-257	-942	-765	-394	-177	
81	391	1169	1388	482	-159	-1275	-1565	-1237	-502	-2003	-1652	-1512	-211	100	308	564	382	581	81	570	1441	1223	-122	-886	-295	-201	-198	
-15	160	582	655	43	-455	-597	-752	-243	-171	-1473	-1306	-668	75	83	33	279	190	518	-905	350	746	1309	128	-404	-289	-223	-166	
-96	41	345	52	-51	-277	-130	95	258	154	-1079	-149	-373	277	318	33	-59	-159	452	-1500	-28	73	843	567	-276	-148	-147	-114	
-222	-243	159	-474	-283	-8	469	791	714	334	-107	280	-99	521	351	-160	-388	-726	-62	-2124	-665	-515	331	601	376	191	7	237	
-233	-331	-329	-1740	-620	61	1296	1507	1801	656	1389	1272	360	294	-210	-541	-1930	-1591	-1296	-2472	-2065	-1650	-41	670	1466	1418	357	513	
-325	-982	-1349	-2318	-713	358	2016	2185	3132	1495	3371	2764	983	506	-615	-1472	-3520	-3041	-2681	-2951	-2802	-2714	-319	704	2404	2249	833	681	
-266	-1660	-3248	-2865	-635	393	2243	2204	3919	2669	4853	4109	2118	579	-924	-1871	-4742	-4227	-3891	-2980	-1979	-2814	-515	979	2506	2469	1726	395	
-163	-2275	-3640	-3021	-371	631	3002	2279	4144	2874	6243	4386	2796	1399	-1088	-2300	-5669	-4916	-4445	-2879	-2354	-3016	-1593	442	2728	2536	1204	530	
-479	-1518	-3013	-2896	-13	1298	2831	1997	4294	2799	6576	4054	3327	1126	-1697	-2226	-6523	-4652	-4576	-3183	-2224	-3260	-1950	418	3273	2858	934	521	
-385	-966	-2887	-2693	-530	1470	2604	1846	3413	3023	5409	3870	3309	871	-1578	-2271	-5330	-4125	-4081	-2501	-1993	-3044	-1865	395	2745	2520	1019	450	
-339	-588	-2181	-2474	-443	593	2717	1526	2776	2911	4575	2599	2979	944	-503	-1309	-4109	-2265	-2594	-1529	-1170	-2240	-630	395	2097	1435	611	450	
-354	-651	-674	-1786	-682	113	1258	1073	1670	1625	2593	1530	1807	25	-196	-718	-2033	-1356	-1529	-949	-823	-1650	-204	464	870	453	174	276	
-258	-140	88	-1036	-993	-145	365	250	564	377	307	356	422	146	259	75	-21	-276	-567	-615	-437	-803	-7	258	144	159	-201	23	
-96	-23	71	-241	-407	-393	-224	-51	17	154	-390	-339	-289	-120	243	258	903	-152	-90	-233	81	-143	403	54	-444	-248	-222	-187	
-30	80	460	423	-138	-1198	-1214	-1381	-489	-157	-1110	-1050	-552	-106	577	358	2514	525	296	474	1475	798	638	0	-1084	-1328	-252	-67	
34	409	886	829	70	-1105	-2046	-2271	-1176	-578	-1987	-1743	-927	-211	619	618	3086	1379	758	1640	2366	1701	597	-304	-1962	-2089	-490	-286	
-199	382	1672	1599	386	-857	-3079	-2517	-2337	-1277	-2548	-1833	-1107	-57	486	924	2907	1948	1642	1869	1772	1424	444	-530	-2203	-1948	-401	-387	
32	365	2060	1696	500	-282	-2231	-2148	-2108	-1521	-2911	-1457	-1407	-99	460	744	2979	2197	1642	1816	1230	1233	226	-630	-1835	-1455	-534	-357	
-118	35	1440	1850	386	-109	-1152	-936	-1879	-1871	-2260	-1818	-1122	-407	527	924	2263	2161	1501	2449	1981	746	80	-587	-1353	-638	-501	-300	
-133	288	1227	1869	307	-181	-562	-905	-1879	-1308	-1670	-1291	-1047	-526	368	672	1387	1432	1182	1482	776	347	-61	-297	-404	-553	-241	-180	
-82	26	607	317	166	-29	-231	-445	-1252	-973	-640	-974	-429	-498	125	283	556	1023	468	401	-48	89	-435	-335	-263	-188	-219	-351	
-96	231	372	317	193	0	-173	-165	-679	-292	-284	-658	-317	-400	108	283	132	365	287	-14	-96	-184	-284	-194	-107	-121	-94	-238	
