-70	-77	-194	-345	-55	-40	81	-136	0	-115	-108	-12	
-147	-195	-368	-374	-159	16	293	-150	-66	-59	56	63	
-94	-320	-416	-624	-269	32	127	-150	8	-108	-38	23	
75	-733	-929	-394	-76	98	334	129	218	-14	-122	-45	
-263	-1073	-1238	-594	156	229	529	421	238	-41	-209	-181	
-126	-1162	-1636	-1122	-234	319	811	191	355	-61	-290	-141	
-342	-1221	-1798	-888	-454	131	326	284	136	-95	-166	-195	
-105	-181	-243	-132	-7	-7	81	-28	0	-14	-81	47	
-119	200	373	471	49	-789	-1026	-1061	-621	-21	232	103	
41	1086	2979	1592	74	-1616	-2123	-2053	-921	168	699	374	
192	1590	3176	1877	222	-2023	-2137	-2742	-806	160	440	305	
284	1626	2478	1877	361	-1384	-2210	-1492	-721	321	416	402	
175	550	1154	1165	411	-731	-838	-238	-353	88	-34	287	
