167	-174	-325	-275	-179	-14	16	-55	-129	-121	-115	-94	
103	-188	-488	-404	-214	-55	317	40	-85	-65	-140	-141	
22	-397	-506	-387	-269	98	1318	178	77	-108	-163	-162	
-216	-895	-679	-587	-255	131	1527	365	323	-183	-195	-188	
-382	-1147	-929	-814	-227	212	1824	347	573	-108	-263	-168	
-154	-1147	-753	-902	-179	40	1283	382	238	-129	-103	-67	
-140	-320	-49	-228	-171	-158	40	-82	129	24	48	279	
-119	-28	886	421	-117	-949	-997	-1435	-149	96	304	215	
167	1158	2460	1699	49	-1935	-1935	-2412	-244	273	460	326	
125	1446	2550	2446	230	-1805	-2210	-2987	-210	601	363	159	
92	1266	2281	1467	98	-1457	-2369	-2513	-319	410	232	135	
159	888	903	495	-28	-905	-1040	-1521	-109	120	-202	63	
41	-133	-21	165	-76	-137	-62	-75	64	-68	-316	-50	
-196	-244	-430	-187	-227	0	578	251	129	-210	-411	-163	
-231	-245	-944	-297	-324	221	524	364	32	-21	-182	-121	
-251	-437	-1150	-366	-213	302	933	462	72	-54	-175	-134	
-196	-209	-517	-565	-461	98	1422	590	-149	-54	-83	-21	
-14	-334	-385	-390	-248	147	619	113	-163	-126	-81	-70	
167	-251	-370	-345	-159	-69	505	-68	-129	-203	-132	-101	
