150	-334	-473	-507	-160	8	229	170	339	
-96	-614	-841	-572	-7	180	521	446	420	
67	-910	-856	-932	-227	212	811	521	452	
-301	-688	-635	-800	-303	139	368	660	279	
-133	-28	91	-159	-227	-124	-137	0	121	
-126	450	1226	471	-42	-673	-823	-1464	-366	
-7	1662	2943	1379	230	-1994	-1690	-3001	-449	
-7	1842	3408	1841	435	-2371	-2397	-3102	-363	
217	1266	2943	1183	123	-1979	-2542	-2311	-649	
50	391	1351	404	32	-1283	-823	-1104	-366	
-126	-49	182	-90	-37	-83	40	-204	-231	
-245	-181	-444	-281	-90	-28	595	137	-122	
-217	-82	-520	-580	-14	221	461	340	40	
-198	-140	-974	-961	-42	343	689	186	-48	
-189	-160	-650	-917	-172	305	846	416	20	
-217	-313	-591	-609	-172	196	636	146	-217	
58	-237	-427	-325	-187	-55	448	154	-133	
142	-265	-267	-249	-193	-83	407	-28	-98	
