-196	-319	-221	-69	-62	122	-150	32	
-181	-444	-290	-97	-28	38	-225	-89	
-202	-856	-521	-200	-131	285	-41	-20	
-313	-1445	-463	-372	-254	383	73	72	
-355	-1400	-624	-159	278	603	81	44	
-437	-1077	-1005	-97	376	619	357	32	
-674	-1518	-1386	24	533	951	503	403	
-541	-1342	-1034	-165	352	627	292	94	
-112	-132	-346	-104	-14	81	-157	-143	
275	886	418	-104	-456	-795	-1162	-692	
1140	3051	1877	-262	-1297	-2701	-2311	-1121	
1320	3104	2250	-97	-2400	-2397	-2972	-749	
1986	2675	1894	378	-1674	-1372	-2628	-492	
834	1261	792	296	-398	-722	-1061	-298	
-188	-63	231	222	-151	-198	-75	129	
-153	-329	-318	123	40	562	178	169	
-97	-462	-697	82	393	524	316	146	
36	-723	-814	-117	568	551	357	282	
-319	-561	-433	-200	305	405	332	137	
-203	-305	-184	-193	90	432	170	42	
